Geneid,TR_AG_1,TR_AG_2,TR_AG_3,TR_SH_1,TR_SH_2,TR_SH_3
Pcdh15,1,2,0,0,2,2
Rtdr1,0,1,0,3,0,3
Gnaz,4,51,4,23,34,16
Rab36,65,128,67,80,82,95
Bcr,1895,3642,2029,2287,2706,2076
Specc1l,1381,3432,1591,2085,1985,1930
Adora2a,1,18,4,8,26,9
Gm5779,0,0,2,1,1,2
Upb1,0,1,4,2,5,3
4933407G14Rik,0,0,0,0,0,0
Gucd1,463,768,532,621,690,573
Snrpd3,2426,3288,2562,2852,2500,3674
Fam211b,71,134,93,264,307,285
Ggt1,1,2,0,8,8,13
Ggt5,7,69,1,0,42,3
Susd2,6,52,12,35,83,36
Cabin1,1716,2914,1801,2576,2126,2260
Ddt,271,611,286,525,414,697
Gstt3,96,408,90,229,50,240
Gstt1,4,150,6,18,45,10
Gstt4,0,3,0,3,1,0
Gstt2,6,22,9,5,5,8
Mif,7620,11869,7749,7210,7151,8257
Derl3,1,5,0,2,2,0
Smarcb1,1366,2672,1512,1802,1693,1866
Mmp11,402,947,396,622,723,644
Chchd10,23,22,19,18,5,22
Gm867,27,7,42,1,0,2
Vpreb3,0,3,0,1,1,0
Gm5134,0,0,0,0,0,1
Mir6409,0,0,0,0,0,0
Zfp280b,262,632,346,507,421,508
Slc5a4b,0,0,0,1,0,0
Slc5a4a,0,0,1,1,3,4
Prmt2,580,1202,604,995,974,963
Mir678,0,0,0,0,0,0
S100b,1,13,3,2,12,4
Dip2a,911,2209,1071,1275,1721,1285
Pcnt,1322,2393,1304,2420,1254,2153
1700094J05Rik,119,235,114,214,106,186
2610028H24Rik,6,15,12,11,15,20
Ybey,186,323,193,285,225,288
Mcm3ap,1454,2913,1672,2344,1830,2103
Lss,1577,2224,1712,1635,1515,1692
4930483K19Rik,191,311,196,194,159,167
Spatc1l,0,0,0,0,0,1
Ftcd,0,0,1,1,3,0
Col6a2,5519,23901,5946,5180,21900,5313
Col6a1,10067,31453,10951,8237,28982,8407
Pcbp3,36,213,58,3,271,6
Gm10787,0,0,0,0,0,0
Slc19a1,437,732,495,655,339,647
Col18a1,339,660,371,281,796,295
Gm10941,17,11,16,7,15,9
Pofut2,1891,3184,1927,1872,3197,2073
Adarb1,171,566,171,121,368,155
Gm17769,11,6,12,3,4,3
Fam207a,1026,1549,1076,1201,1000,1333
Itgb2,139,295,153,30,217,43
Pttg1ip,3908,6328,4499,3674,4047,4003
Sumo3,4143,3268,4606,4568,3373,5120
Ube2g2,1706,3137,1819,1680,2364,2030
Mir1930,0,0,0,0,0,1
Tspear,3,0,0,2,1,1
Gm19402,0,0,0,0,0,0
Gm10272,0,0,0,0,0,0
Gm10024,0,0,0,0,0,0
Gm10142,0,0,0,0,0,0
Krtap12-1,0,0,0,0,0,0
Gm10100,0,0,0,0,0,0
Gm3238,0,0,0,0,0,0
Gm19668,0,0,0,0,0,0
Gm2696,0,0,0,0,0,0
Krtap10-4,0,0,0,0,0,0
Krtap10-10,0,0,0,0,0,0
Gm10318,0,0,0,0,0,0
Gm3285,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0
Lrrc3,0,0,0,0,1,0
Trpm2,3,1,0,0,0,0
1810043G02Rik,198,386,229,236,229,281
Pfkl,2405,5454,2514,1495,3415,1598
Aire,0,0,0,0,0,0
Dnmt3l,0,36,3,2,6,4
Icosl,2,33,0,16,24,13
D10Jhu81e,445,908,441,570,609,717
Pwp2,1222,1595,1274,1960,835,1985
Trappc10,1640,2682,1805,2038,1727,1953
Agpat3,1653,2981,1763,1766,2429,1743
Rrp1,4901,6207,5025,5229,4785,5634
Mir6907,0,0,0,0,0,0
Cstb,4248,5460,4607,4068,5044,5243
Mir6410,0,0,0,0,0,0
Pdxk,554,2380,644,799,679,801
Mir6908,0,0,0,0,0,0
Ilvbl,1559,2267,1679,1826,2337,1987
Syde1,1956,2783,2059,2317,1509,2301
Olfr1357,0,0,0,0,0,0
Casp14,6,1,1,1,0,3
Ccdc105,0,0,0,0,0,0
Slc1a6,0,19,7,27,4,44
Olfr1356,0,0,0,0,0,0
Olfr1355,0,0,0,0,0,0
Olfr1354,0,0,0,0,0,0
Olfr8,0,0,0,0,0,0
Olfr1353,0,0,0,0,0,0
Olfr1352,0,0,0,0,0,0
Olfr1351,0,0,0,0,0,0
Olfr57,0,0,0,0,0,0
2610008E11Rik,102,418,124,274,187,237
Vmn2r80,0,0,0,0,0,0
Vmn2r81,0,0,0,0,0,0
Vmn2r82,0,0,0,0,0,1
Vmn2r83,0,0,0,0,2,0
Ppap2c,1384,1630,1551,1462,1161,1576
Mir6909,0,0,0,0,0,0
Mier2,398,713,495,418,426,482
Theg,0,0,0,0,0,0
C2cd4c,1,3,0,1,0,5
Shc2,50,27,54,16,19,15
Odf3l2,0,1,0,0,0,0
Madcam1,18,12,32,23,1,26
Tpgs1,658,932,551,537,637,650
Cdc34,2085,2515,2218,2857,1668,3450
Gzmm,5,8,2,3,5,12
Bc1,0,0,0,1,0,2
Bsg,13349,22312,14424,14160,15271,15404
Hcn2,0,38,2,1,9,2
Polrmt,828,1085,718,1126,570,1080
Mir7669,0,0,0,0,0,0
Fgf22,4,5,0,2,2,0
Rnf126,1927,2392,1944,2070,1490,2257
Fstl3,59,525,89,380,550,464
Prss57,33,283,56,205,293,295
Palm,1420,3093,1499,1551,2520,1700
Misp,14,8,13,8,3,8
E130317F20Rik,1185,1455,1242,1173,1119,1309
Ptbp1,12486,16640,13746,14437,11800,14413
BC005764,1718,2299,1830,1954,1555,1879
Mir6910,0,0,0,0,0,0
Prtn3,0,0,1,0,1,2
Elane,1,0,0,0,1,0
Cfd,0,0,2,0,0,0
Med16,653,1212,661,739,791,797
