Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3
LOC105379444	0.923143663	2.281088859	1.039090291	0	2.550128566	0	0.572866468	1.011829489
LOC105379448	0	0	3.117270872	4.43392879	0	1.091823602	0	1.011829489
LOC105379452	0.923143663	0	0	0	0	0	0	0
LOC105379460	0	1.520725906	0	0	0	0	0	0
LOC105379461	0	0	0	1.477976263	3.825192848	0	0	0
LOC105379490	0.923143663	2.281088859	0	0	3.825192848	0	0	0
LOC105379504	0	1.520725906	0	0	0	0	0	0
LOC105379508	0	0	0	0	0	0	0	1.011829489
LOC105379511	53.54233248	43.34068832	37.40725047	39.90535911	53.55269988	57.86665092	6.874397622	26.3075667
LOC105379514	0	1.520725906	0	0	0	0	0	0
LOC105379516	0	5.32254067	19.74271553	8.86785758	11.47557855	9.82641242	5.728664685	14.16561284
LOC105379524	4.615718317	6.082903623	9.351812617	10.34583384	20.40102852	8.734588817	4.582931748	9.106465398
LOC105379549	2.76943099	1.520725906	2.078180582	0	1.275064283	3.275470807	6.301531153	0
LOC105379554	0	1.520725906	0	0	6.375321414	0	2.291465874	1.011829489
LOC105379562	69.23577476	75.27593234	75.85359123	75.37678943	66.30334271	61.14212172	12.03019584	31.36671415
LOC105379564	0	0.760362953	0	0	2.550128566	0	0	0
LOC105379565	0	0	0	4.43392879	8.92544998	0	1.718599405	1.011829489
LOC105379566	1.846287327	10.64508134	1.039090291	1.477976263	17.85089996	3.275470807	2.291465874	7.08280642
LOC105379574	0	0.760362953	0	22.16964395	14.02570711	9.82641242	2.864332342	2.023658977
LOC105379599	0	0	1.039090291	0	0	0	1.718599405	0
LOC105379675	0	0	2.078180582	2.955952527	0	0	0	0
LOC105379719	1.846287327	0	1.039090291	16.2577389	1.275064283	3.275470807	1.145732937	1.011829489
LOC105379725	0	0	0	1.477976263	6.375321414	2.183647204	0	1.011829489
LOC105379743	0	0	0	0	0	2.183647204	0	0
LOC105379749	0	2.281088859	0	5.911905053	0	0	0	0
LOC105379752	0	0	0	0	0	0	0.572866468	1.011829489
LOC105379771	0.923143663	0	0	0	0	0	0	3.035488466
LOC105379772	0	0	0	0	0	0	1.145732937	2.023658977
LOC105379825	0	0	0	0	3.825192848	0	0	0
LOC105379829	0	0	0	4.43392879	0	2.183647204	0	0
LOC105379839	1.846287327	2.281088859	3.117270872	1.477976263	2.550128566	2.183647204	4.010065279	4.047317955
LOC105379841	0.923143663	0	0	0	0	0	0.572866468	0
LOC105379850	0	0	0	0	0	0	0.572866468	0
LOC105379854	0.923143663	3.041451812	1.039090291	0	0	2.183647204	0.572866468	1.011829489
LOC105379857	0	0	0	0	0	2.183647204	0.572866468	0
LOC105379869	0	0	0	7.389881317	1.275064283	0	0	0
LOC105379880	0	0	0	2.955952527	0	0	0	0
LOC105379882	7.385149308	12.9261702	8.312722326	7.389881317	10.20051426	10.91823602	5.728664685	9.106465398
LOC105447645	4.615718317	4.562177717	9.351812617	4.43392879	3.825192848	1.091823602	6.874397622	7.08280642
LOC105747689	0	1.520725906	1.039090291	0	0	0	1.718599405	0
LOC106660606	7.385149308	3.041451812	5.195451454	13.30178637	1.275064283	9.82641242	4.582931748	8.094635909
LOC106699570	2.76943099	4.562177717	8.312722326	0	2.550128566	4.367294409	18.90459346	5.059147443
LOC107001062	11.07772396	32.69560698	25.97725727	79.81071822	127.5064283	92.80500618	41.8192522	74.87538216
LOC107105282	0	0	0	0	0	0	3.437198811	0
LOC107983949	5.538861981	6.843266576	1.039090291	2.955952527	14.02570711	13.10188323	9.738729964	4.047317955
LOC107983950	4.615718317	2.281088859	2.078180582	2.955952527	0	0	2.864332342	2.023658977
LOC107983963	0	0	0	0	0	1.091823602	0	0
LOC107983969	0	0	0	0	0	0	0	1.011829489
LOC107983971	3.692574654	5.32254067	9.351812617	0	5.100257131	1.091823602	9.738729964	0
LOC107983974	0	0.760362953	0	0	0	0	0	0
LOC107983976	0	0.760362953	0	20.69166769	24.22622137	24.02011925	5.728664685	5.059147443
LOC107983979	0.923143663	1.520725906	0	0	1.275064283	1.091823602	3.437198811	0
LOC107983981	0	0	0	2.955952527	1.275064283	1.091823602	0	0
LOC107983985	0	0	0	1.477976263	0	0	0	0
LOC107983990	0	0	0	5.911905053	6.375321414	5.459118011	1.718599405	9.106465398
LOC107983995	0	0	0	4.43392879	1.275064283	1.091823602	0	0
LOC107983996	0.923143663	3.041451812	0	0	0	0	1.718599405	0
LOC107983998	12.92401129	19.00907382	11.4299932	4.43392879	7.650385697	5.459118011	17.75886052	16.18927182
LOC107984000	0	3.041451812	3.117270872	7.389881317	8.92544998	8.734588817	0	5.059147443
LOC107984001	0	0	0	0	2.550128566	0	0	0
LOC107984003	0	0	0	0	1.275064283	2.183647204	0	0
