Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3	NKO70_1	NKO70_2	NKO70_3
RNPEPL1	1097.360705	1137.378632	1144.686863	388.7881597	386.0589643	416.9639816	936.8598208	714.8239998	962.1512482	844.9744576	940.4287649
RNPS1	2645.062068	2729.100899	2701.004781	1241.131433	1384.131136	1632.557388	2457.758396	1672.379602	2584.998949	2511.22287	2640.855195
RNU12	0	0	2.073708086	2.990678151	0	0	0	0	0	0	0
RNU4-1	0	0	0	0	3.873501314	2.206158633	0	0	0	1.030456656	0
RNU4ATAC	0	0	0	0	0	1.103079316	0	1.028523741	0	0	0
RNU5A-1	0	0	0	0	0	0	1.141815747	2.057047482	0	0	0
RNU5D-1	0	0	0	0	0	0	0.570907874	0	0	0	0
RNU5E-1	0	0	0	0	0	0	0	0	0	1.030456656	0
RNU6-2	0	0	0	0	0	0	0	0	0	1.030456656	0
RNU6-8	0	0.759771965	1.036854043	0	3.873501314	1.103079316	1.141815747	4.114094963	1.926228725	0	5.467609099
RNU6ATAC	0	1.519543931	0	8.972034454	3.873501314	2.206158633	1.141815747	1.028523741	0	0	0.911268183
RNVU1-14	0	3.798859826	1.036854043	4.486017227	3.873501314	3.309237949	4.56726299	4.114094963	0	3.091369967	0.911268183
RNVU1-19	0	0	0	0	5.164668419	1.103079316	0	0	1.926228725	1.030456656	0
RNVU1-3	0	0	0	0	0	1.103079316	0	0	0	0	0
RNVU1-4	0	0	0	0	0	0	0	0	0	0	3.645072732
RNVU1-6	0	0	0	0	0	2.206158633	0	3.085571222	1.926228725	0	0
RO60	553.2756653	506.0081289	622.1124257	539.8174063	542.290184	532.7873098	614.86778	528.6612028	522.0079845	488.4364548	560.4299326
ROBO1	20.21937647	12.15635144	10.36854043	2.990678151	5.164668419	9.927713847	17.12723621	7.199666185	9.631143626	12.36547987	7.290145465
ROBO2	1.838125134	0	3.110562128	1.495339076	0	2.206158633	3.996355116	4.114094963	8.668029263	8.243653245	15.49155911
ROBO3	200.3556396	188.4234474	179.3757494	180.9360282	201.4220684	220.6158633	393.355525	289.0151712	184.9179576	200.9390478	194.100123
ROBO4	25.73375187	21.27361503	19.70022681	43.3648332	19.36750657	34.19545881	161.5669283	74.05370934	36.59834578	42.24872288	36.45072732
ROCK1	263.7709567	304.6685581	275.8031754	155.5152639	121.3697079	211.7912287	660.5404099	120.3372777	127.1310959	139.1116485	165.8508093
ROCK1P1	40.43875295	24.31270289	30.06876724	98.692379	125.2432092	87.14326599	51.38170864	81.25337552	28.89343088	40.18780957	35.53945914
ROCK2	387.8444032	451.3045474	390.8939741	131.5898387	193.6750657	241.5743703	1359.902555	160.4497036	191.6597582	215.365441	230.5508503
ROCR	0.919062567	0	0	5.981356303	2.58233421	0	1.712723621	0	0	0	0
ROGDI	645.181922	716.4649633	711.2818733	541.3127454	463.5289906	522.859596	435.0317998	599.6293409	824.4258944	739.8678787	634.2426554
ROM1	62.49625455	66.10016098	59.10068044	49.3461895	81.3435276	69.49399693	59.37441887	84.33894674	63.56554793	45.34009285	55.58735917
ROMO1	2464.925805	2904.608223	2493.633973	11811.68336	11951.04272	9666.284049	763.3038272	5305.125455	3627.08869	3749.83177	2996.249786
ROPN1	0	0	0	0	20.65867368	9.927713847	1.141815747	0	0	0	0
ROPN1B	0.919062567	3.798859826	2.073708086	35.88813782	37.44384604	25.37082428	6.850894485	19.54195107	6.741800538	1.030456656	0
ROPN1L	22.05750161	24.31270289	15.55281064	113.6457698	136.8637131	169.8742147	27.97448581	82.28189926	6.741800538	20.60913311	10.02395001
ROPN1L-AS1	0	6.078175722	2.073708086	2.990678151	2.58233421	11.03079316	3.425447242	3.085571222	0.963114363	5.152283278	0
ROR1	86.39188129	120.0439705	120.275069	31.40212059	60.68485393	87.14326599	139.3015212	67.88256689	78.01226337	82.43653245	69.25638191
ROR1-AS1	0	0	0	1.495339076	0	0	3.996355116	2.057047482	0	0	0
ROR2	15.62406364	9.117263584	11.40539447	32.89745967	10.32933684	31.98930018	55.37806375	29.82718848	8.668029263	5.152283278	6.378877282
RORA	64.33437969	62.30130115	114.0539447	85.23432732	95.54636576	80.5247901	114.1815747	101.8238503	44.30326068	63.88831265	49.20848189
RORA-AS1	14.70500107	21.27361503	19.70022681	61.30890211	100.7110342	99.27713847	22.83631495	32.9127597	23.1147447	25.76141639	14.58029093
RORB	0	0	0	5.981356303	1.291167105	0	0	0	0	0	0
RORC	0.919062567	0	4.147416171	0	0	0	0	3.085571222	0	1.030456656	0
ROS1	0	3.798859826	5.184270214	17.94406891	18.07633947	15.44311043	7.421802359	2.057047482	2.889343088	1.030456656	3.645072732
RP1	0	0	0	10.46737353	20.65867368	12.13387248	2.283631495	4.114094963	2.889343088	3.091369967	1.822536366
RP1L1	0.919062567	0.759771965	2.073708086	2.990678151	0	1.103079316	5.138170864	1.028523741	0	3.091369967	0
RP2	1286.687594	1310.60664	1353.094526	4774.617669	4950.33468	4232.515337	928.2962027	3431.155199	1735.532081	1791.964124	1626.613707
RP9	341.8912749	398.8802818	292.3928401	328.9745967	348.6151183	330.9237949	223.7958865	284.9010762	382.3564019	382.2994192	364.5072732
RP9P	179.2172006	209.6970624	190.7811439	165.9826374	125.2432092	202.9665942	158.141481	119.3087539	175.286814	171.0558048	168.5846139
RPA1	3993.326853	4067.05933	4036.472789	4454.615107	4415.791499	3851.952973	3318.68747	4294.086618	4509.301446	4427.872249	4204.591397
RPA2	1897.864201	1736.078941	1819.678845	3639.65531	3674.66158	3361.082677	932.8634657	2617.59292	2803.625909	2916.192335	2679.128458
RPA3	2893.208961	2748.85497	2640.867247	7119.30934	8800.594987	6989.110549	794.7037602	4545.04641	4822.313613	4746.283356	3714.329114
RPA4	0.919062567	1.519543931	0	0	0	0	3.425447242	0	0	0	0
RPAIN	2823.360206	3108.986882	2906.301882	5890.140619	5568.803723	4810.528899	1019.070555	3755.140178	4757.784951	4613.354447	4157.205451
RPAP1	812.4513092	811.4364589	714.3924355	312.5258668	322.7917762	393.7993159	1030.488712	658.2551941	635.6554793	628.5785599	724.4582056
RPAP2	322.590961	316.0651376	340.088126	325.9839185	299.5507683	300.0375741	243.2067542	271.5302676	350.573628	310.1674533	326.2340095
RPAP3	560.6281658	554.6335347	672.9182738	388.7881597	309.8801052	312.1714465	939.7143602	384.667879	510.4506122	519.3501544	523.0679371
RPARP-AS1	413.5781551	354.0537358	419.9258873	439.6296883	331.8299459	307.7591293	125.5997322	383.6393553	522.9710989	491.5278247	476.5932598
RPE	1231.54384	1180.685634	1221.414062	2891.985772	2907.70832	2796.306067	748.4602225	1970.651487	1857.847605	1829.060564	1780.61803
RPE65	2.757187701	6.078175722	1.036854043	1.495339076	3.873501314	5.515396582	5.138170864	4.114094963	3.85245745	5.152283278	5.467609099
RPEL1	2.757187701	0	3.110562128	2.990678151	1.291167105	4.412317266	1.712723621	6.171142445	6.741800538	0	2.733804549
RPF1	799.5844332	790.1628439	858.5151474	1534.217892	1333.775619	1287.293562	452.159036	1026.466693	1242.417528	1386.994658	1214.720488
RPF2	834.5088108	696.7108922	765.1982836	1206.738634	1230.482251	1224.418041	446.4499573	859.8458473	1153.811006	1305.588583	1139.996497
RPGR	111.2065706	137.5187257	105.7591124	38.87881597	37.44384604	41.91701402	69.07985272	65.82551941	118.4630666	118.5025154	116.6423274
RPGRIP1	2.757187701	5.318403757	0	0	0	5.515396582	5.709078737	0	0.963114363	2.060913311	1.822536366
RPGRIP1L	166.3503246	174.747552	165.8966468	174.9546719	188.5103973	190.8327217	212.377729	167.6493697	169.5081278	164.8730649	143.0691047
RPH3A	3.676250268	0	4.147416171	0	0	2.206158633	0.570907874	0	0	0	0
RPH3AL	137.859385	186.1441315	117.1645068	46.35551135	42.60851446	49.63856924	99.33797003	136.7936575	199.3646731	189.6040246	112.0859865
RPIA	423.6878434	376.0871228	330.7564396	315.516545	286.6390973	356.2946192	231.7885967	277.70141	602.909591	591.4821203	543.1158371
RPL10	35413.31883	32952.82968	32446.27356	45437.37316	50043.05465	45689.54528	10862.09321	37822.93204	49989.48788	48452.07195	41238.53036
RPL10A	20164.23272	20931.71764	21618.40679	47290.09827	46664.07034	40526.031	5561.213598	25046.61014	28816.38173	28679.66964	26388.50405
RPL11	12115.08276	13409.21542	13717.57899	43653.43364	40860.2742	35097.77769	5762.17317	18175.04302	16793.82514	17111.76322	17092.65731
RPL12	29949.49187	29204.1148	29718.31057	91782.41713	97776.21135	85826.18929	10526.39938	42867.84099	43609.81834	44301.39254	38704.29354
RPL13	31847.35607	31200.03575	31130.50578	56405.68528	57506.00051	49003.19555	10648.00275	37928.86999	47325.51355	45457.56491	40902.2724
RPL13A	65153.26443	62229.88259	62517.11451	149080.8198	157277.065	128634.4914	17843.15469	72846.22246	94143.46583	94473.29664	83057.53855
RPL13AP20	86.39188129	82.05537225	63.24809661	180.9360282	95.54636576	157.7403422	75.35983933	90.51008919	78.01226337	69.04059593	64.700041
RPL13AP3	0	1.519543931	4.147416171	5.981356303	5.164668419	3.309237949	0	1.028523741	0.963114363	0	0.911268183
RPL13AP5	338.2150246	413.3159491	342.1618341	820.9411526	773.4090958	659.6414312	99.9088779	524.5471078	568.2374739	566.7511606	523.0679371
RPL13AP6	11.0287508	25.83224682	36.2898915	64.29958026	38.73501314	49.63856924	5.709078737	26.74161726	23.1147447	41.21826623	21.87043639
RPL13P5	39.51969038	28.87133468	32.14247533	7.476695379	23.24100789	11.03079316	17.69814409	16.45637985	20.22540161	15.45684983	38.27326369
RPL14	19787.41707	19862.71849	21192.25978	51166.01715	51449.13563	44264.36681	5427.050248	23611.81952	30296.6885	30480.90787	27881.16133
RPL15	34877.50535	33197.47625	33482.09075	75822.66317	81742.49824	68586.16265	10138.75293	44227.54938	51194.34394	51983.44691	46600.43235
RPL17	57.90094172	73.69788063	68.43236682	189.9080626	176.8898934	174.286532	15.41451259	82.28189926	123.2786384	80.37561914	73.81272283
RPL18	21635.65189	22037.94563	20899.86694	39638.44822	43691.80366	37239.95772	5512.686429	26949.37906	35286.58402	33548.57734	28641.15899
RPL18A	20732.21338	20867.13703	21092.72179	59445.70962	62439.55002	54575.95226	4988.022093	27851.39438	33352.65038	31658.71983	27066.48757
RPL19	31998.08233	30991.85824	32437.97873	86613.02994	87792.90729	77733.99943	12271.09384	45209.78955	41570.90523	42512.51978	40039.30143
RPL19P12	15.62406364	6.078175722	2.073708086	22.43008614	15.49400526	27.57698291	2.854539369	13.37080863	9.631143626	10.30456656	2.733804549
RPL21	12424.80684	12693.51022	12706.64629	28870.51154	30307.56545	24978.12804	3589.86871	14240.93971	18794.21367	18401.89496	16519.46962
RPL21P28	85.47281873	108.647391	89.16944768	222.8055223	169.1428907	138.9879939	18.83995983	143.9933237	120.3892953	140.1421052	130.3113502
