EntrezID	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_2	K70P10_3	NKO70_1	NKO70_2	NKO70_3
PRR9	4.753453285	4.693411952	1.073267328	514.6116003	496.3341506	461.2008873	55.65563535	72.90463978	186.7664237	17.00654349	8.546438811	4.701277926
PRXL2A	246.2288801	212.7680085	253.2910894	609.4493877	603.6496426	427.9301765	423.3380774	393.5560201	601.4511949	188.0723633	167.7238617	228.4821072
PSCA	8.556215912	21.90258911	13.95247527	43.53209912	36.21897856	66.54142155	38.48527976	36.77490679	48.5381666	14.00538876	9.614743662	15.04408936
PSD4	133.096692	122.0287107	108.4000001	281.4039264	303.166265	283.3746745	336.8942182	334.845204	455.8366951	146.056197	152.7675937	126.934504
PSG8	89.36492175	62.57882602	61.1762377	180.3472678	144.8759142	175.531681	242.1612219	210.3266599	147.7248549	40.01539644	32.04914554	28.20766756
PTOV1	2160.919863	2287.256091	2249.56832	995.0194084	1002.058407	913.2236474	982.854837	984.535224	1159.640111	2084.802155	2099.219033	1987.700307
PTOV1-AS2	887.9450735	808.8313263	823.1960407	363.8039712	403.7745387	333.8543736	425.7064023	410.9757128	388.3053328	808.3110082	815.1166016	768.1888131
RAB6B	99.82251898	114.9885928	159.9168319	429.1021199	429.2619681	406.1321246	312.6188879	254.1984785	434.7331444	112.04311	114.3086191	134.4565487
RAD23A	3988.147306	4156.798519	4079.489114	1497.193266	1372.296854	1676.155463	1847.293429	1869.068508	2018.554624	4121.585834	3976.230657	3914.284001
RAET1G	11.40828788	8.604588578	17.17227725	287.6227977	258.8986245	261.5766226	68.08934112	72.25946598	93.9108006	26.01000769	9.614743662	21.62587846
RAET1L	80.80870584	86.04588578	76.2019803	463.3059121	325.970807	326.9707783	336.8942182	250.9726095	379.8639126	206.0792917	212.5926654	214.3782734
RASGRF1	23.76726642	42.24070757	38.63762381	121.2679904	92.55961187	80.30861221	105.9825397	142.5834106	69.6417173	25.00962278	52.34693771	44.1920125
RASGRP3	9.506906569	5.475647277	4.293069313	175.6831143	202.5579912	149.1445655	39.07736099	43.22664483	47.48298907	12.00461893	18.16118247	7.522044681
RASL10A	0.950690657	7.822353253	3.219801984	21.76604956	26.828873	24.09258366	22.49908663	32.90386397	10.55177535	2.000769822	0	0
RASSF1	84.61146846	75.87682655	79.42178228	194.3397282	234.7526388	166.3535539	239.792897	220.6494408	126.6213042	130.0500384	116.4452288	88.38402501
RBM12	1972.683113	1744.384775	1949.053468	825.5551654	846.4509433	896.0146591	863.8465104	918.727496	892.6801945	2182.839876	2239.166968	2342.176663
RBMS3	256.6864774	218.2436558	294.0752479	66.8528665	73.77940076	111.2847912	103.6142147	154.8417128	112.9039962	201.0773671	177.3386053	162.6642162
RDH16	9.506906569	7.822353253	16.09900992	57.52455955	54.99918966	49.33243322	39.66944222	47.09768765	64.36582963	12.00461893	5.341524257	5.641533511
REEP1	220.5602324	213.5502438	220.0198023	1234.445954	1138.885659	859.3021507	351.6962489	413.556408	685.8653977	245.0943032	256.3931643	251.0482412
RELB	115.9842601	118.8997694	116.9861388	251.8642878	315.2392578	348.7688302	404.9835593	375.4911536	356.6500068	142.0546574	126.0599725	125.9942484
RFTN1	15.21105051	10.16905923	8.586138625	54.4151239	65.73073886	94.07580288	68.68142235	75.485335	45.372634	17.00654349	29.91253584	22.56613404
RFX8	21.86588511	24.24929508	7.512871297	326.4907434	339.3852435	268.460218	76.3784783	94.8405491	162.4973404	66.02540413	63.02998623	74.28019123
RHOBTB1	98.87182832	112.6418868	93.37425755	236.3171095	225.3625332	268.460218	349.9200052	400.6529319	244.8011881	101.038876	75.84964444	93.08530293
RHOU	178.7298435	174.4384775	198.5544557	547.2606746	548.6504529	478.4098756	515.7027488	569.0432946	613.0581478	205.0789068	194.4314829	251.0482412
RHPN1-AS1	37.07693562	37.54729561	24.68514855	65.29814868	69.75506981	111.2847912	73.41807216	78.06603021	75.97278251	37.01424171	21.36609703	40.43099016
RNASE7	17.11243182	17.20917716	12.87920794	66.8528665	118.0470412	74.57228277	47.9585794	58.06564231	49.59334414	36.0138568	22.43440188	22.56613404
RND1	3.802762628	10.95129455	6.439603969	38.86794564	24.1459857	36.71250844	24.86741154	18.7100403	32.71050358	5.001924556	3.204914554	9.402555852
RPS6KA6	71.30179927	86.04588578	70.83564366	24.87548521	17.43876745	20.650786	30.78822381	37.4200806	35.87603619	19.00731331	33.11745039	22.56613404
RTP4	0	0.782235325	0	15.54717826	14.75588015	11.47265889	14.20994945	6.451738034	15.82766302	1.000384911	1.068304851	0
RXRG	0	0.782235325	1.073267328	20.21133173	26.828873	24.09258366	8.881218407	7.096911837	13.71730795	1.000384911	1.068304851	0
RYR3	1.901381314	1.564470651	2.146534656	13.99246043	28.17031665	10.325393	13.61786822	20.00038791	7.386242744	7.002694378	10.68304851	3.761022341
