GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CHST3,427.9669013,-2.147098191,0.214510007,-10.0093148,1.39E-23,1.07E-22
EPB41,170.2276011,-2.145272585,0.22064881,-9.722565832,2.42E-22,1.77E-21
ANO8,56.66979768,-2.142845327,0.371020347,-5.775546668,7.67E-09,2.66E-08
SH3RF1,372.1385789,-2.14218174,0.175464752,-12.20861576,2.80E-34,3.40E-33
PLCB3,709.4039184,-2.1419432,0.161034548,-13.30114079,2.28E-40,3.42E-39
RHOF,51.12687768,-2.140889815,0.386837394,-5.534340388,3.12E-08,1.05E-07
SCNN1A,920.4283839,-2.139484582,0.121179752,-17.65546257,9.24E-70,3.87E-68
RAB3IL1,139.3389028,-2.138054937,0.24292737,-8.801210576,1.35E-18,8.20E-18
LENG9,129.6009981,-2.137807841,0.244882162,-8.729945158,2.55E-18,1.52E-17
AATK,16.31285862,-2.137173617,0.659045794,-3.24283022,0.001183487,0.002584782
CENPJ,52.20303373,-2.136812248,0.364570584,-5.861175702,4.60E-09,1.62E-08
LRRN2,61.59475178,-2.135349518,0.340135336,-6.277940841,3.43E-10,1.30E-09
LIG1,407.9406309,-2.135034321,0.16105588,-13.25648163,4.14E-40,6.12E-39
HDAC6,260.3276923,-2.134211508,0.167702691,-12.72616135,4.23E-37,5.70E-36
KIF3B,548.4525224,-2.133267054,0.142430372,-14.97761345,1.03E-50,2.33E-49
RPTOR,385.206492,-2.132384201,0.151305629,-14.09322455,4.18E-45,7.44E-44
LSS,1142.047524,-2.131344242,0.102042842,-20.88675888,7.07E-97,6.87E-95
LARP7,72.30403611,-2.130916686,0.303079025,-7.030894616,2.05E-12,8.89E-12
LINC01389,8.389740276,-2.13056954,0.863245935,-2.468091021,0.013583577,0.025238947
MVB12B,206.5908689,-2.1304001,0.220998503,-9.639884771,5.42E-22,3.92E-21
LOC105378539,109.1443505,-2.130388754,0.250138067,-8.516851439,1.64E-17,9.39E-17
GIT1,638.5924053,-2.128290188,0.15471367,-13.75631633,4.67E-43,7.69E-42
TNS2,144.7379751,-2.126371088,0.248997539,-8.539727331,1.35E-17,7.74E-17
ABCG4,9.975108187,-2.124629251,0.829986934,-2.559834577,0.0104722,0.019835136
TNK2-AS1,39.07241224,-2.124416533,0.417689509,-5.08611418,3.65E-07,1.13E-06
PRDM15,40.08671032,-2.12391356,0.412996943,-5.142685907,2.71E-07,8.44E-07
BTBD11,391.7920436,-2.12264772,0.147816015,-14.36006592,9.21E-47,1.79E-45
NSD3,426.4704001,-2.122630025,0.152545049,-13.91477494,5.15E-44,8.84E-43
LOC101928445,21.89064862,-2.122502372,0.580385929,-3.657053466,0.000255131,0.000606497
MSC,247.0591363,-2.121484021,0.238646621,-8.889646161,6.13E-19,3.81E-18
CYSRT1,15.03793565,-2.121100821,0.668310735,-3.173824254,0.001504448,0.003237516
NOVA2,11.19707711,-2.119574467,0.796239923,-2.661979643,0.007768258,0.015019723
TNS3,1572.601942,-2.116332909,0.149743536,-14.13305023,2.38E-45,4.31E-44
GTF2I,520.3299012,-2.114922811,0.133064666,-15.89394748,6.98E-57,1.95E-55
MID1IP1,1216.83097,-2.113112881,0.114230847,-18.49861873,2.12E-76,1.11E-74
CALN1,34.76666762,-2.112445947,0.461970322,-4.572687567,4.82E-06,1.36E-05
ATN1,2407.148098,-2.110918045,0.275529712,-7.661308217,1.84E-14,9.04E-14
PODXL2,436.5855413,-2.110619462,0.175690857,-12.01325727,3.03E-33,3.53E-32
KCNC4,80.39761924,-2.109762169,0.322992089,-6.531931405,6.49E-11,2.57E-10
MTUS1,707.39575,-2.109730673,0.118057727,-17.87033115,2.01E-71,8.86E-70
LRFN4,579.8199166,-2.109679211,0.122216856,-17.26176961,9.13E-67,3.49E-65
CORO2A,376.1663523,-2.109469051,0.159410962,-13.23289828,5.67E-40,8.31E-39
VAV2,508.544921,-2.109221125,0.192639255,-10.94907229,6.71E-28,6.28E-27
SLAMF8,9.047292873,-2.108936565,0.857817996,-2.458489534,0.013952284,0.025892102
KLHL29,151.0001312,-2.10737755,0.222213988,-9.48355038,2.46E-21,1.72E-20
SSBP3,1621.313004,-2.107309991,0.111613342,-18.88044889,1.65E-79,9.50E-78
