GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRIM44,1124.448881,-1.956617299,0.120514861,-16.23548565,2.83E-59,8.55E-58
HYOU1,1955.676097,-1.956566923,0.118910483,-16.45411635,7.84E-61,2.47E-59
HRG,11.91393218,-1.954809015,0.737348922,-2.651131582,0.008022258,0.015463595
DOCK7,358.1729117,-1.953734905,0.159435521,-12.25407544,1.60E-34,1.96E-33
LRRC3,59.27274023,-1.951127863,0.325255988,-5.998745397,1.99E-09,7.18E-09
PIGO,582.8648737,-1.951071461,0.127889803,-15.25587982,1.50E-52,3.63E-51
SHISA8,283.309214,-1.950820163,0.198058486,-9.849717645,6.87E-23,5.15E-22
ZCCHC14,380.046065,-1.949341059,0.204284958,-9.542264291,1.40E-21,9.89E-21
ADCY3,1077.839343,-1.946113582,0.106554429,-18.26403268,1.60E-74,7.80E-73
LRFN3,186.9290463,-1.946108612,0.209377626,-9.294730529,1.48E-20,9.98E-20
EEA1,80.49583516,-1.945097568,0.342700468,-5.675794901,1.38E-08,4.73E-08
HNRNPUL2,439.0948107,-1.944332943,0.177425464,-10.95859013,6.04E-28,5.67E-27
AXIN2,18.33637631,-1.943265085,0.592065617,-3.282178577,0.001030083,0.002266398
TP63,1961.700378,-1.94307895,0.086120218,-22.56240156,1.01E-112,1.47E-110
CRB2,46.29950521,-1.941657048,0.373952989,-5.192249038,2.08E-07,6.53E-07
RFX7,393.5848559,-1.940920711,0.156714423,-12.38508026,3.15E-35,3.98E-34
TRIM56,174.7395905,-1.940246486,0.223771948,-8.670642174,4.30E-18,2.53E-17
PNN,449.6702664,-1.940067932,0.150648061,-12.87814737,5.98E-38,8.26E-37
MIA3,250.5933194,-1.939988596,0.17716251,-10.95033366,6.62E-28,6.20E-27
UBE3A,817.8754207,-1.939847626,0.104022421,-18.64836062,1.30E-77,7.08E-76
TCAF1,244.2699613,-1.938272331,0.17951576,-10.79722658,3.55E-27,3.22E-26
ZNF652,211.7008304,-1.937800338,0.182783197,-10.60163279,2.93E-26,2.54E-25
MARK4,338.2367706,-1.935181721,0.162421334,-11.91457842,9.94E-33,1.13E-31
RADIL,106.7311674,-1.934921562,0.252343873,-7.667796885,1.75E-14,8.61E-14
PAXIP1,246.5636994,-1.93477462,0.190336593,-10.16501655,2.84E-24,2.26E-23
HCFC1,1531.777939,-1.934466674,0.284728536,-6.794073758,1.09E-11,4.54E-11
NUMA1,1852.420995,-1.934042036,0.307136092,-6.297019739,3.03E-10,1.16E-09
LINC00942,100.4373958,-1.933787901,0.257012508,-7.524100344,5.31E-14,2.53E-13
PLEKHH3,152.347692,-1.933370325,0.240706347,-8.03207039,9.58E-16,5.02E-15
CACNA1H,29.17647559,-1.932638424,0.515416317,-3.749664803,0.000177071,0.000427777
SLC6A16,14.70753571,-1.932023466,0.757815403,-2.549464497,0.01078885,0.020396445
PRPF8,3519.271451,-1.931981454,0.234082474,-8.253422044,1.54E-16,8.40E-16
MEGF9,1180.085093,-1.931804589,0.120312263,-16.05658926,5.14E-58,1.50E-56
ZNF516,50.73211112,-1.931538048,0.451502538,-4.278022574,1.89E-05,5.03E-05
LDLRAD2,124.6495825,-1.930882256,0.252094978,-7.659344404,1.87E-14,9.16E-14
PCDHGC3,239.1424754,-1.930363683,0.188974774,-10.21492786,1.70E-24,1.37E-23
SLC16A14,654.1916564,-1.929863801,0.134848107,-14.31138959,1.86E-46,3.54E-45
KAT6A,357.0675598,-1.929104812,0.165184792,-11.67846503,1.64E-31,1.79E-30
SWAP70,995.966823,-1.928538334,0.140308791,-13.74495725,5.46E-43,8.98E-42
GALNT10,443.1982305,-1.928470578,0.136728259,-14.1044038,3.57E-45,6.39E-44
USP34,475.2357619,-1.928318605,0.137617345,-14.01217703,1.31E-44,2.30E-43
MX1,20.03091065,-1.927098559,0.568259555,-3.391229485,0.000695798,0.001566177
TFAP2A,186.4503263,-1.926922442,0.212407241,-9.071830277,1.17E-19,7.54E-19
FTO,379.5553432,-1.925650649,0.167345386,-11.50704356,1.22E-30,1.28E-29
LOC107984298,9.15026691,-1.925621176,0.847135479,-2.273097072,0.023020331,0.040948321
MAN2A2,106.614966,-1.924562026,0.250345577,-7.68762143,1.50E-14,7.41E-14
KTN1,1077.877094,-1.923893138,0.155796022,-12.34879502,4.94E-35,6.21E-34
RAP1GAP,305.6301363,-1.923146923,0.170403442,-11.28584553,1.54E-29,1.55E-28
EPHB6,24.24131926,-1.92158561,0.551201402,-3.48617693,0.000489977,0.001123629
LOC102724682,21.20364164,-1.920284894,0.534475347,-3.592840915,0.000327092,0.000767703
LOC107987135,936.3654169,-1.919971914,0.166167586,-11.55443105,7.01E-31,7.44E-30
ATF7IP,413.3911167,-1.918729551,0.171290313,-11.20162323,4.00E-29,3.95E-28
KMT2E,243.365172,-1.918415122,0.197196396,-9.728449199,2.28E-22,1.67E-21
FCHSD2,268.3825819,-1.917346784,0.177471258,-10.8037031,3.31E-27,3.00E-26
SCRIB,1122.030496,-1.916619873,0.326626232,-5.867930023,4.41E-09,1.56E-08
LOC102723728,9.932603158,-1.91620288,0.811184057,-2.362229464,0.018165395,0.032956993
ZNF70,30.56309821,-1.915616491,0.471423066,-4.063476377,4.83E-05,0.000124178
KCTD15,201.6555245,-1.91425033,0.212835898,-8.994020014,2.38E-19,1.51E-18
NUP210,1469.779066,-1.913789671,0.103422323,-18.50460923,1.90E-76,9.92E-75
EIF3A,2237.361159,-1.913525893,0.141201795,-13.5517108,7.74E-42,1.23E-40
RPS6KA6,43.4039227,-1.91205227,0.382543822,-4.998256824,5.79E-07,1.75E-06
ZNF507,170.0867001,-1.911267696,0.232515961,-8.219941943,2.04E-16,1.10E-15
RCC2,3695.739559,-1.910832772,0.124833894,-15.3070028,6.87E-53,1.68E-51
RAB40C,271.4087429,-1.910773195,0.180342694,-10.59523487,3.14E-26,2.72E-25
ATP11A,266.5727833,-1.909583973,0.181846192,-10.50109412,8.54E-26,7.25E-25
NFIA,74.62026309,-1.909351948,0.334909515,-5.701097943,1.19E-08,4.10E-08
ZNF609,528.1236546,-1.908422791,0.157991184,-12.07929922,1.36E-33,1.60E-32
AGPAT3,729.9803313,-1.908234156,0.117101956,-16.29549346,1.06E-59,3.23E-58
TTYH3,1392.733163,-1.906290877,0.120737269,-15.78875268,3.72E-56,1.01E-54
PGBD5,75.19589163,-1.903129825,0.340257068,-5.593211738,2.23E-08,7.54E-08
MTDH,1399.284181,-1.902525942,0.095855975,-19.84775542,1.15E-87,8.16E-86
FOXP1,217.3913851,-1.902405169,0.210098853,-9.054809883,1.37E-19,8.78E-19
BMPR2,472.9613381,-1.902403821,0.147003123,-12.94124763,2.63E-38,3.68E-37
TOP1MT,275.790298,-1.902379481,0.178972358,-10.62945979,2.17E-26,1.90E-25
PACSIN3,447.5005998,-1.901769098,0.187541161,-10.1405424,3.65E-24,2.89E-23
GRAMD4,181.9189241,-1.901374412,0.19923424,-9.543411894,1.38E-21,9.80E-21
ZNF558,81.68779312,-1.901301391,0.309524678,-6.142648802,8.12E-10,3.01E-09
VPS9D1,272.3853387,-1.900938747,0.178704531,-10.63732823,2.00E-26,1.75E-25
LOC101928543,56.29905578,-1.900927765,0.383389619,-4.958213968,7.11E-07,2.14E-06
TOX3,19.22870835,-1.900371338,0.607877091,-3.126242734,0.001770553,0.003774366
SGSH,80.9633672,-1.900366031,0.282889075,-6.717707396,1.85E-11,7.59E-11
ZNF276,122.7439543,-1.899314764,0.230814875,-8.228736402,1.89E-16,1.03E-15
LOC107984247,203.4049592,-1.899160218,0.214188496,-8.866770415,7.53E-19,4.64E-18
ZBED4,413.0857157,-1.899053079,0.158549146,-11.97769356,4.65E-33,5.38E-32
PIK3R1,129.1580394,-1.898854681,0.25457078,-7.459044117,8.72E-14,4.11E-13
CHTF18,409.9480393,-1.894524255,0.158049859,-11.98687721,4.16E-33,4.82E-32
HNRNPA3,3049.050057,-1.893958847,0.093029313,-20.35873195,3.89E-92,3.18E-90
CIRBP,1466.839116,-1.89392766,0.100762162,-18.79602056,8.14E-79,4.58E-77
PDE4A,46.7059684,-1.893894309,0.43868669,-4.317191185,1.58E-05,4.24E-05
B4GALNT4,196.1537575,-1.893391576,0.204599998,-9.254113372,2.16E-20,1.45E-19
IFT140,140.9409463,-1.892534169,0.266339617,-7.105717847,1.20E-12,5.25E-12
HOOK2,297.8881721,-1.892412522,0.168185165,-11.25195865,2.27E-29,2.26E-28
LOC101928909,18.19118434,-1.892358335,0.586371737,-3.227233196,0.001249935,0.002718932
DDX54,808.9724584,-1.891852579,0.173649437,-10.89466576,1.22E-27,1.13E-26
COL4A5,594.6065542,-1.891526172,0.132420429,-14.28424739,2.74E-46,5.21E-45
WDR60,60.87379545,-1.891155005,0.341599448,-5.536176988,3.09E-08,1.04E-07
ZDHHC8P1,61.14699783,-1.889650068,0.340567241,-5.548537378,2.88E-08,9.68E-08
BRD4,1305.16324,-1.888524877,0.319398889,-5.912747171,3.36E-09,1.20E-08
TMEM63A,182.6701099,-1.888298068,0.206875408,-9.127706797,7.00E-20,4.57E-19
AXIN1,294.7823379,-1.887380549,0.181921223,-10.3747134,3.23E-25,2.69E-24
LRRC10B,25.78992828,-1.887164067,0.504896467,-3.737724842,0.000185693,0.000447683
AKNA,109.0034914,-1.88687403,0.254840028,-7.404150926,1.32E-13,6.15E-13
ZC3H4,496.1904405,-1.886775112,0.170414363,-11.07169067,1.72E-28,1.64E-27
LRIG3,479.2081345,-1.886626522,0.127385489,-14.81037237,1.26E-49,2.73E-48
CC2D1B,134.4066755,-1.885363523,0.231493959,-8.144331419,3.81E-16,2.04E-15
TAF15,1061.574653,-1.885045311,0.299690022,-6.289983554,3.17E-10,1.21E-09
SLC6A6,187.6001217,-1.884885429,0.206781309,-9.115356873,7.84E-20,5.11E-19
SMG9,166.7732861,-1.884226596,0.217332567,-8.669784848,4.33E-18,2.55E-17
QKI,642.845815,-1.884003397,0.139173687,-13.5370661,9.45E-42,1.49E-40
LPIN3,147.62468,-1.883216415,0.233557747,-8.06317257,7.43E-16,3.92E-15
ACAP3,197.7157221,-1.882334085,0.192484035,-9.779169904,1.38E-22,1.02E-21
DLX5,119.9153798,-1.881777152,0.271039647,-6.94281141,3.84E-12,1.64E-11
SLC18A2,44.36563108,-1.881637507,0.394206512,-4.773227865,1.81E-06,5.28E-06
FOXK1,931.0665025,-1.88136147,0.153369209,-12.2668786,1.36E-34,1.68E-33
REXO1,545.1474727,-1.881046472,0.184387549,-10.20159158,1.95E-24,1.56E-23
GRK2,638.7378788,-1.880078634,0.157747416,-11.91828481,9.50E-33,1.08E-31
HNRNPM,3477.306821,-1.879899325,0.107190917,-17.53786025,7.36E-69,2.99E-67
POSTN,55.76711634,-1.879410828,0.376307464,-4.99434906,5.90E-07,1.79E-06
PBX1,373.3675655,-1.877184039,0.155457699,-12.07520792,1.43E-33,1.68E-32
GSE1,459.8890552,-1.875837425,0.157976871,-11.87412696,1.61E-32,1.83E-31
PTCH1,377.9311273,-1.875501347,0.169029891,-11.09567858,1.32E-28,1.26E-27
C6orf223,209.6199926,-1.875442854,0.188683339,-9.939631488,2.80E-23,2.14E-22
RBM26,279.5800573,-1.87469203,0.169078387,-11.08770945,1.44E-28,1.38E-27
KIAA1522,2504.54531,-1.874530835,0.143300619,-13.08110778,4.22E-39,6.02E-38
LOC730268,44.49783208,-1.874386359,0.482184717,-3.887278656,0.000101374,0.000252449
CCND1,3416.097267,-1.873758833,0.135691924,-13.80891929,2.25E-43,3.76E-42
UTP20,278.4168711,-1.873571512,0.16101262,-11.63617805,2.70E-31,2.92E-30
LOC101929185,25.21140441,-1.873383879,0.492578687,-3.803217495,0.000142829,0.000348968
PACS2,309.8703194,-1.873083228,0.210279883,-8.907572154,5.22E-19,3.26E-18
DOCK6,313.5101934,-1.872745269,0.181167618,-10.33708609,4.79E-25,3.96E-24
BCLAF1,785.0800357,-1.87257029,0.143747149,-13.02683427,8.61E-39,1.22E-37
PNPLA6,635.4751198,-1.872445302,0.127681383,-14.66498292,1.08E-48,2.27E-47
DIS3L2,140.8317722,-1.871839335,0.231567621,-8.083337927,6.30E-16,3.33E-15
IKBKB,174.3140437,-1.868226804,0.19482102,-9.58945191,8.86E-22,6.32E-21
USP24,1326.747915,-1.865756366,0.132305404,-14.1018909,3.70E-45,6.61E-44
MECP2,446.7217763,-1.864781906,0.139943183,-13.32527863,1.65E-40,2.49E-39
SND1,4030.451171,-1.863179562,0.077494065,-24.04286793,9.91E-128,2.40E-125
VEZF1,302.8717606,-1.862590231,0.168018422,-11.08563101,1.47E-28,1.41E-27
ZBTB7A,610.1357247,-1.862537978,0.159603703,-11.6697667,1.82E-31,1.98E-30
MAP3K2,761.0793743,-1.86169228,0.112054304,-16.61419697,5.50E-62,1.79E-60
ATP11C,400.6178162,-1.860940629,0.159964252,-11.63347816,2.79E-31,3.01E-30
PHF21B,24.82389071,-1.860879845,0.585672498,-3.177338615,0.001486334,0.003202128
RUNX3,325.1641552,-1.86066292,0.162994955,-11.41546323,3.50E-30,3.60E-29
UBE4B,977.9513027,-1.860620089,0.106723966,-17.43394809,4.56E-68,1.82E-66
TEF,305.7440093,-1.858779297,0.174972011,-10.62329507,2.32E-26,2.02E-25
TAB2,430.0188071,-1.856578857,0.141353747,-13.13427409,2.09E-39,3.01E-38
ALMS1,99.90132068,-1.856104795,0.279365253,-6.644007359,3.05E-11,1.24E-10
CEMP1,21.41965963,-1.855534661,0.580661237,-3.195554555,0.001395624,0.003015325
GANAB,6681.850735,-1.855122812,0.092250612,-20.10959902,6.08E-90,4.67E-88
PTPN23,648.6931044,-1.854974532,0.160027366,-11.59160824,4.55E-31,4.86E-30
SIMC1,291.3193875,-1.854821041,0.197461972,-9.393307596,5.81E-21,3.99E-20
KDM5C,992.1303538,-1.854339474,0.13820577,-13.41723628,4.79E-41,7.38E-40
DMBX1,117.6953355,-1.853985066,0.27982765,-6.625453439,3.46E-11,1.40E-10
NTNG2,381.8362041,-1.853462276,0.162194277,-11.42742097,3.05E-30,3.15E-29
BCL9L,2408.978246,-1.852913206,0.307392148,-6.027848193,1.66E-09,6.02E-09
RNF144A,134.928832,-1.852754621,0.225771311,-8.206333283,2.28E-16,1.23E-15
ZNF213,136.191655,-1.852133411,0.22583253,-8.201357934,2.38E-16,1.29E-15
IQSEC1,370.99913,-1.851590124,0.179942092,-10.28992217,7.82E-25,6.39E-24
BICD2,576.420915,-1.85036697,0.170413618,-10.85809334,1.83E-27,1.67E-26
SEC24D,401.076832,-1.849882705,0.135674847,-13.6346769,2.49E-42,4.01E-41
CEP131,81.1678608,-1.84965946,0.293047396,-6.311809918,2.76E-10,1.05E-09
DDX46,1036.054007,-1.849618892,0.129586191,-14.2732715,3.21E-46,6.06E-45
INSIG1,1319.637723,-1.849540855,0.091522117,-20.2086766,8.21E-91,6.46E-89
PRPF4B,190.0727702,-1.849458883,0.195948846,-9.438478047,3.78E-21,2.62E-20
ZNF791,88.01957182,-1.84929148,0.31850792,-5.806108302,6.39E-09,2.24E-08
CECR2,35.45999439,-1.848798479,0.434629786,-4.253731658,2.10E-05,5.59E-05
CLVS1,36.19386394,-1.847850165,0.472025962,-3.914721463,9.05E-05,0.000226594
C22orf23,74.52100941,-1.847824547,0.313369861,-5.896624973,3.71E-09,1.32E-08
IGF2R,1013.919542,-1.847718385,0.29521408,-6.258910092,3.88E-10,1.47E-09
ANKRD13B,252.2188595,-1.847660933,0.194218807,-9.513295669,1.85E-21,1.30E-20
LOC112268244,9.991767801,-1.845900736,0.802800925,-2.299325621,0.021486456,0.038430467
SCAP,737.3887511,-1.845679694,0.153667153,-12.01089277,3.11E-33,3.63E-32
SCAF8,280.6499574,-1.84495537,0.217154979,-8.4960307,1.96E-17,1.12E-16
SSRP1,3796.195589,-1.844681237,0.076224914,-24.20050261,2.20E-129,5.59E-127
PWWP3A,271.3287636,-1.844500779,0.167303409,-11.02488461,2.90E-28,2.74E-27
DPH3P1,10.79934829,-1.844280256,0.764264348,-2.41314443,0.015815551,0.029038298
KMT2C,136.0356922,-1.84407789,0.237099009,-7.777670175,7.39E-15,3.71E-14
UGT8,913.580644,-1.843876077,0.100484351,-18.34988292,3.31E-75,1.67E-73
VWA1,326.7601378,-1.843774091,0.161455685,-11.41969135,3.33E-30,3.43E-29
LOC112267983,73.97076171,-1.843712607,0.321050709,-5.742745793,9.32E-09,3.22E-08
POLA1,389.7716508,-1.842581479,0.139723624,-13.18732962,1.04E-39,1.51E-38
CFAP73,180.8467465,-1.842409202,0.2117532,-8.700738403,3.30E-18,1.96E-17
GOLGA2,517.1294922,-1.842322539,0.175079987,-10.52274773,6.79E-26,5.79E-25
ZBED3,48.19787958,-1.841634203,0.387350197,-4.75444241,1.99E-06,5.77E-06
LAMA1,428.2354986,-1.841306726,0.171031046,-10.76592095,4.99E-27,4.50E-26
TBC1D9B,976.6710532,-1.839678013,0.127391112,-14.44118027,2.85E-47,5.62E-46
PI4KA,489.6884922,-1.839387512,0.188990177,-9.732714921,2.19E-22,1.61E-21
TBC1D16,358.0569077,-1.839058085,0.157344916,-11.68806807,1.47E-31,1.61E-30
AGAP3,871.231736,-1.838840443,0.126391767,-14.548736,5.95E-48,1.21E-46
ZNF500,76.80187851,-1.838814154,0.302382965,-6.081077193,1.19E-09,4.37E-09
ARHGEF12,724.4040081,-1.838731028,0.166590992,-11.03739768,2.52E-28,2.39E-27
ESCO1,58.46116919,-1.838493042,0.373076675,-4.927922773,8.31E-07,2.49E-06
NDST1,3071.577442,-1.837669626,0.122204755,-15.03762786,4.16E-51,9.58E-50
RSRC2,239.5922755,-1.83743319,0.178388508,-10.30017692,7.03E-25,5.78E-24
TLK1,253.859019,-1.837246763,0.178226553,-10.30849069,6.45E-25,5.30E-24
ARHGEF10L,104.3501442,-1.83713387,0.251440846,-7.306425752,2.74E-13,1.26E-12
ARHGEF16,196.6923583,-1.836776804,0.20065841,-9.153749429,5.50E-20,3.62E-19
ZNF808,16.41663725,-1.835975546,0.695324432,-2.640458845,0.008279385,0.015916091
CDC42BPB,787.9897985,-1.8357652,0.120052696,-15.29132834,8.74E-53,2.13E-51
DHCR7,1886.973452,-1.835343709,0.092712445,-19.79608781,3.22E-87,2.26E-85
MIDN,580.9830338,-1.832868012,0.337901785,-5.424262587,5.82E-08,1.91E-07
LOC100129484,61.38804994,-1.832729611,0.33502143,-5.470484707,4.49E-08,1.49E-07
ADD2,776.2395878,-1.832440264,0.152434129,-12.02119417,2.75E-33,3.21E-32
ARHGAP32,128.2508799,-1.832432737,0.269286205,-6.8047776,1.01E-11,4.22E-11
TENM4,96.45294162,-1.831836031,0.263228315,-6.959114683,3.42E-12,1.46E-11
HLCS,343.9610343,-1.829338232,0.166314857,-10.99924723,3.85E-28,3.63E-27
NLRP6,77.88753319,-1.828891034,0.285759676,-6.40010186,1.55E-10,6.03E-10
SMARCA4,1651.169029,-1.828624302,0.295460397,-6.18906736,6.05E-10,2.27E-09
E2F7,382.8017648,-1.82764591,0.151760114,-12.04299248,2.11E-33,2.47E-32
SLC27A3,360.0917215,-1.827412772,0.151048272,-12.09820375,1.08E-33,1.28E-32
UBTF,690.0937251,-1.827036609,0.133920403,-13.6427054,2.23E-42,3.61E-41
PRRC2C,774.7918347,-1.826427112,0.186811552,-9.776842468,1.42E-22,1.05E-21
TENM2,127.8979224,-1.826224146,0.261142776,-6.993201861,2.69E-12,1.16E-11
PLCD4,19.89035602,-1.825566093,0.559810297,-3.26104415,0.001110028,0.002433664
SMC2,562.2152751,-1.825346008,0.165415263,-11.03493095,2.59E-28,2.45E-27
EML1,175.2873096,-1.825079331,0.219527383,-8.313675051,9.28E-17,5.11E-16
SH3PXD2B,343.8172305,-1.825004917,0.163328979,-11.17379737,5.48E-29,5.36E-28
SLC7A1,1892.321018,-1.824416921,0.11696569,-15.5978811,7.53E-55,1.97E-53
NFYA,229.4360158,-1.823499479,0.175229538,-10.4063476,2.32E-25,1.95E-24
VANGL2,49.2855267,-1.823454578,0.391621443,-4.656166333,3.22E-06,9.20E-06
FOXJ2,343.9771049,-1.822954498,0.210004013,-8.680569823,3.94E-18,2.33E-17
MBOAT1,228.0697594,-1.820695579,0.178101914,-10.22277381,1.57E-24,1.26E-23
JAG1,2391.979031,-1.820437988,0.121107466,-15.03159179,4.56E-51,1.05E-49
TBL1XR1,2319.221327,-1.820236923,0.087943161,-20.69787913,3.62E-95,3.28E-93
NAT10,1300.86506,-1.820083873,0.116921014,-15.5667814,1.22E-54,3.18E-53
PPIL2,268.515721,-1.819803015,0.172599876,-10.54347809,5.44E-26,4.67E-25
RAB15,483.7871198,-1.818664731,0.156375563,-11.6301083,2.90E-31,3.13E-30
ADAMTS16,73.91601214,-1.817480062,0.300953195,-6.039078809,1.55E-09,5.63E-09
ERC1,492.2716746,-1.816431193,0.210602091,-8.624943775,6.41E-18,3.74E-17
RAD54L2,178.2261749,-1.816412061,0.215207321,-8.440289365,3.17E-17,1.79E-16
ABCA2,733.099257,-1.816309362,0.157950422,-11.49923716,1.33E-30,1.40E-29
TREML3P,45.66709646,-1.815968617,0.37216361,-4.879490008,1.06E-06,3.15E-06
ZNRF3,262.5539096,-1.815181439,0.204776092,-8.864225416,7.70E-19,4.74E-18
EML3,334.0008474,-1.814788201,0.169903135,-10.68131085,1.25E-26,1.10E-25
TBC1D17,343.3636459,-1.812692064,0.149471393,-12.12735114,7.57E-34,9.00E-33
SLC7A5,47554.02021,-1.812566556,0.109339502,-16.57741731,1.01E-61,3.27E-60
ZFP91,1015.209785,-1.811827279,0.119898469,-15.11134629,1.36E-51,3.19E-50
BAZ1B,803.2137586,-1.811706604,0.34017433,-5.3258181,1.00E-07,3.25E-07
CYP26B1,48.27330371,-1.811535138,0.400953581,-4.518066988,6.24E-06,1.74E-05
SEC63,476.4170968,-1.811335195,0.133982583,-13.519184,1.21E-41,1.90E-40
CNPY4,71.86874829,-1.811107639,0.307134702,-5.896786086,3.71E-09,1.31E-08
CISH,62.58468894,-1.810636759,0.331191897,-5.467032181,4.58E-08,1.51E-07
MYH9,12734.15162,-1.810587496,0.314391747,-5.759017257,8.46E-09,2.93E-08
ZSCAN29,204.5922045,-1.809034259,0.239187821,-7.563237325,3.93E-14,1.89E-13
HNRNPH1,2216.408605,-1.808593933,0.096731959,-18.69696373,5.24E-78,2.88E-76
DHX9,3439.05149,-1.808257749,0.08079096,-22.38193159,5.90E-111,8.09E-109
ZNF395,714.1023302,-1.807595981,0.114087223,-15.84398261,1.55E-56,4.28E-55
LOC389906,87.38652368,-1.807475527,0.299727652,-6.030392971,1.64E-09,5.93E-09
PDIA4,2355.051267,-1.807445032,0.112284469,-16.09701716,2.68E-58,7.86E-57
RTN4RL2,158.4819886,-1.807211046,0.227756486,-7.934838993,2.11E-15,1.09E-14
LRRC26,24.80496785,-1.80702785,0.560349719,-3.224821552,0.001260512,0.002740809
RAB3D,175.3221351,-1.806897343,0.198813814,-9.088389335,1.01E-19,6.52E-19
SIX5,192.5110759,-1.806843304,0.210176981,-8.596770649,8.20E-18,4.76E-17
NFIX,1102.941465,-1.806780477,0.312207942,-5.787106083,7.16E-09,2.49E-08
LOC105371942,46.70820916,-1.806682111,0.395526109,-4.567794816,4.93E-06,1.39E-05
TMEM8B,234.0881765,-1.80658013,0.23706738,-7.620534417,2.53E-14,1.23E-13
UBN1,427.2757658,-1.804280707,0.150154661,-12.01614855,2.92E-33,3.41E-32
WAPL,711.4860719,-1.804203991,0.128953195,-13.99115387,1.77E-44,3.08E-43
ZNF385A,1185.764216,-1.803837816,0.136197759,-13.24425479,4.87E-40,7.16E-39
TM6SF1,130.1135214,-1.803369466,0.229071605,-7.872514215,3.48E-15,1.77E-14
CC2D1A,649.8667705,-1.803361523,0.159592512,-11.29978782,1.32E-29,1.33E-28
SCMH1,403.2047229,-1.80263664,0.135339882,-13.31933063,1.79E-40,2.70E-39
ARGLU1,287.3518449,-1.802266316,0.17722332,-10.16946484,2.71E-24,2.17E-23
MXRA5,1232.360523,-1.801894348,0.155479531,-11.58927052,4.67E-31,5.00E-30
BTBD9,40.33662806,-1.801788935,0.399157194,-4.513983362,6.36E-06,1.77E-05
LIMCH1,367.4743129,-1.801338481,0.164450417,-10.95368752,6.38E-28,5.98E-27
BCR,838.5437894,-1.800961493,0.126276771,-14.26201725,3.77E-46,7.10E-45
GLG1,1537.703659,-1.80045998,0.132459971,-13.59248355,4.44E-42,7.07E-41
STK39,379.7697472,-1.8002048,0.157272076,-11.44643632,2.45E-30,2.54E-29
DAG1,2090.241042,-1.799957807,0.113756038,-15.82296501,2.16E-56,5.94E-55
POGZ,304.4467969,-1.799835345,0.186762311,-9.637037258,5.58E-22,4.02E-21
UBE2O,303.0588017,-1.799442587,0.164831612,-10.91685367,9.58E-28,8.92E-27
AGO4,73.15748231,-1.799209218,0.299242331,-6.012549134,1.83E-09,6.61E-09
PPP1R9B,965.6146667,-1.798443727,0.154969513,-11.60514537,3.88E-31,4.16E-30
ZBTB7B,343.0975898,-1.798114861,0.184379188,-9.752265882,1.80E-22,1.33E-21
CCDC85C,729.2908275,-1.797212982,0.138864876,-12.94217112,2.60E-38,3.64E-37
ZNF462,143.7557471,-1.796963523,0.235022199,-7.645931016,2.07E-14,1.01E-13
ANKRD6,198.380991,-1.796263554,0.185694456,-9.673221244,3.92E-22,2.84E-21
USP32,247.6209184,-1.796200666,0.189788153,-9.464240176,2.96E-21,2.06E-20
BCL7A,329.2957903,-1.795360677,0.163968407,-10.94943053,6.69E-28,6.26E-27
PHF14,409.0282174,-1.794973007,0.159140863,-11.27914585,1.66E-29,1.67E-28
CABLES2,323.3122677,-1.794579609,0.168347812,-10.65995208,1.57E-26,1.38E-25
PARD3,664.4733537,-1.794030175,0.126801508,-14.14833465,1.91E-45,3.49E-44
KDM3B,537.4665869,-1.793945294,0.148506095,-12.07994389,1.35E-33,1.59E-32
FAM160A1,166.8468688,-1.792290146,0.216415172,-8.281721337,1.21E-16,6.66E-16
BMP7,860.4259737,-1.791441654,0.111086704,-16.1265173,1.66E-58,4.92E-57
CKAP4,1783.534486,-1.790967075,0.095247836,-18.80323116,7.11E-79,4.01E-77
SMC3,433.7705091,-1.790443131,0.17103029,-10.4685733,1.20E-25,1.02E-24
HMGCS1,2491.55073,-1.790233844,0.084220039,-21.25662557,2.86E-100,3.08E-98
LIMD1,220.3421301,-1.789739292,0.186301535,-9.606680339,7.49E-22,5.36E-21
ANKRD52,1895.783555,-1.789654641,0.141574147,-12.64111197,1.25E-36,1.66E-35
CCAR2,1680.07494,-1.789280864,0.100211897,-17.85497441,2.64E-71,1.16E-69
ZNF335,158.8661215,-1.789230941,0.240976928,-7.424905585,1.13E-13,5.28E-13
SETD5,380.3836775,-1.788743715,0.140725903,-12.71083492,5.15E-37,6.91E-36
TASOR,447.1874176,-1.787732148,0.165068691,-10.83023155,2.48E-27,2.26E-26
FER,138.0283736,-1.787060265,0.22795075,-7.839677053,4.52E-15,2.29E-14
MYO9B,441.0625701,-1.78702789,0.16964189,-10.53411917,6.01E-26,5.15E-25
ZNF324B,41.39025539,-1.786959322,0.392480736,-4.552986059,5.29E-06,1.48E-05
ID4,375.8181889,-1.786924697,0.14089568,-12.68260813,7.38E-37,9.87E-36
TMEM80,85.29451997,-1.78680022,0.29010394,-6.159172544,7.31E-10,2.73E-09
GATAD2B,305.7560412,-1.786205961,0.196754042,-9.078369851,1.10E-19,7.13E-19
ITPR3,693.8117772,-1.785944511,0.146892908,-12.15813978,5.19E-34,6.21E-33
RUFY3,82.41440737,-1.785488032,0.285425373,-6.255533682,3.96E-10,1.50E-09
XPO7,1629.926797,-1.785436776,0.089110451,-20.03622202,2.66E-89,2.02E-87
