© 2000-2019 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cancer,Organismal Injury and Abnormalities	Non-hematological solid tumor	2.52E-19	ABCA13,ABCA4,ABCA8,ACBD7,ACE2,ACER2,ACHE,ACSF2,ACTBL2,ACVR2B,ADAMTS14,ADAMTS17,AKAP12,AKR1B10,AKR1B15,AKR1C1/AKR1C2,AKR1C3,ANGPTL4,ANKDD1A,ANKRD1,ANO2,APBB1,APLF,AREG,ARHGAP18,ARHGAP26,ARHGDIA,ARHGDIB,ARHGDIG,ARHGEF28,ART5,ASB2,ASRGL1,ATF3,ATP13A4,ATP6V0A4,ATRNL1,AZGP1,BCO2,BCYRN1,BIRC3,BPIFC,C11orf96,C1QTNF2,C1S,C3orf52,C7orf57,C7orf65,CACNA1A,CALCOCO1,CAMK2N1,CAPG,CARD16,CASP1,CASP10,CCDC103,CCDC136,CCDC80,CCM2L,CCN2,CCN5,CD274,CD33,CD83,CDH23,CDH24,CEACAM1,CEND1,CFLAR,CGB3 (includes others),CHST2,CIRBP,CITED2,CLDN1,CNN1,COL16A1,COQ10A,CPA4,CPA6,CPE,CPNE7,CRABP1,CREB5,CRTAC1,CRYAB,CSPG4,CTDSP2,CTSS,CTSV,CTU2,CYP2J2,DAAM1,DAB2,DAPP1,DBP,DDIT4,DFFB,DHRS2,DHRS9,DIO3,DMD,DNAH5,DNAJC12,DNAJC22,DOCK8,DRAM1,DUSP4,DUSP5,DYDC1,DYDC2,EBI3,ECM1,EDIL3,EFNA1,EGFL6,ELMO1,EMID1,EMILIN2,EMX1,EOMES,EPHA3,ERG,EXOSC6,FADS2,FAF1,FAM111B,FAM133A,FAM241A,FAS,FASN,FBLN5,FBP1,FBXL17,FBXO32,FGF1,FHL1,FIBCD1,FJX1,FLG2,FLVCR2,FOSB,FSTL1,FSTL3,GBP3,GBX1,GDF15,GFRA3,GGT7,GGTLC2,GJB3,GJB4,GJB5,GLI1,GNAL,GNB1L,GNG2,GPC1,GPC3,GPD1,GPR137C,GPRC5B,GRPR,GTDC1,HBEGF,HDAC4,HDAC9,HECW1,HEYL,HHIP,HHLA2,HKDC1,HLA-B,HMGCS1,HOTAIR,HOXD1,HRCT1,HS3ST3A1,HSD17B6,HSPA1A/HSPA1B,HSPB2,HTRA3,ID3,ID4,IFI35,IFI6,IFIT3,IFT88,IGFL4,IHH,IL15RA,IL1B,IL1RN,IL21R,IL31RA,IL7R,INPP1,INSIG1,ISG20,ISM2,ITGB2,IZUMO4,JPH2,KBTBD11,KCNB1,KCNG3,KCNK9,KIAA1755,KIF1A,KLF14,KLHL6,KLK5,KREMEN2,KRT13,KRT23,KRT4,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LAMP3,LCE1E,LCE1F,LGI2,LGR5,LIPH,LMO2,LOR,LPXN,LRRC15,LRRC17,LRRC41,LY96,LYST,MAB21L4,MAFF,MAP1LC3A,MAP6,MATN3,MAZ,MBOAT1,MCTP1,MEGF6,MGLL,MICB,MOBP,MPPED2,MTSS1,MUC1,MVK,MXD1,MYH2,N4BP3,NAF1,NBPF10 (includes others),NCEH1,NCF2,NECAB2,NEXN,NMNAT2,NMNAT3,NR4A3,NRTN,NT5C,NTF3,OAS1,ODAPH,OLFML2B,OLR1,OPN1SW,OSGIN1,OTOP1,OTULINL,PADI1,PADI2,PAPSS2,PAQR4,PBLD,PDCD1LG2,PDGFRL,PGD,PHKB,PHLDA2,PHYHIP,PIFO,PLA2G3,PLCXD2,PLEKHA6,PLEKHA7,PLEKHA8P1,PLP1,PMEL,PNKP,PNMA2,PPIC,PPM1N,PPP4R1,PPP4R4,PROS1,PRR9,PSCA,PSD4,PSG8,PTOV1,RAB6B,RAD23A,RAET1G,RAET1L,RASGRF1,RASGRP3,RASL10A,RASSF1,RBM12,RBMS3,RDH16,REEP1,RELB,RFTN1,RFX8,RHOBTB1,RHOU,RND1,RPS6KA6,RTP4,RXRG,RYR3,SAA1,SAMD1,SAMD11,SCD,SCEL,SCFD2,SCIN,SERPINB6,SERPINB7,SERPINB8,SERTAD4,SERTM1,SFPQ,SH2D1B,SH3TC1,SH3TC2,SIRPB2,SLC16A12,SLC16A14,SLC18A3,SLC25A13,SLC25A22,SLC29A2,SLC38A5,SLC44A1,SLC7A11,SLC7A7,SLC9A4,SLC9A8,SLCO2A1,SLCO5A1,SMPDL3B,SNRPA,SOX12,SOX2,SOX2-OT,SOX21,SPINK2,SPRY2,SPRYD3,SREBF1,SRXN1,ST3GAL5,STAG1,STAMBPL1,STARD13,STARD5,STOML3,STRA6,STX11,SYT17,SYTL2,TEDC2,TEF,TENT5C,TEX14,TEX15,TFAP2C,TFAP4,TGM1,TGM4,THOC6,THSD1,TIMP3,TKT,TLL2,TMEM117,TMEM135,TMEM154,TMEM229B,TMEM255B,TMEM54,TMEM59L,TMEM86A,TMPRSS11E,TMPRSS7,TNFAIP1,TNFAIP2,TNFAIP8L3,TNFRSF9,TP53I3,TRAPPC9,TRIM22,TRPC1,TSPAN11,TTLL11,TTYH2,TUBB2A,TUBB3,TUFT1,TXNDC5,UBD,UBE2QL1,UGT8,ULBP2,USP44,VAMP1,VAV1,VGLL2,VIPR2,VSIG1,VSTM2L,VTN,VWA5B1,WDR17,WSCD2,WWP2,XCR1,XDH,ZBED2,ZFX,ZMYND15,ZNF219,ZNF25,ZNF467,ZSCAN31,ZSWIM3	441
Cancer,Organismal Injury and Abnormalities	Nonhematologic malignant neoplasm	2.54E-19	ABCA13,ABCA4,ABCA8,ACBD7,ACE2,ACER2,ACHE,ACSF2,ACTBL2,ACVR2B,ADAMTS14,ADAMTS17,AKAP12,AKR1B10,AKR1B15,AKR1C1/AKR1C2,AKR1C3,ANGPTL4,ANKDD1A,ANKRD1,ANO2,APBB1,APLF,AREG,ARHGAP18,ARHGAP26,ARHGDIA,ARHGDIB,ARHGDIG,ARHGEF28,ART5,ASB2,ASRGL1,ATF3,ATP13A4,ATP6V0A4,ATRNL1,AZGP1,BCO2,BCYRN1,BIRC3,BPIFC,C11orf96,C1QTNF2,C1S,C3orf52,C7orf57,C7orf65,CACNA1A,CALCOCO1,CAMK2N1,CAPG,CARD16,CASP1,CASP10,CCDC103,CCDC136,CCDC80,CCM2L,CCN2,CCN5,CD274,CD33,CD83,CDH23,CDH24,CEACAM1,CEND1,CFLAR,CGB3 (includes others),CHST2,CIRBP,CITED2,CLDN1,CNN1,COL16A1,COQ10A,CPA4,CPA6,CPE,CPNE7,CRABP1,CREB5,CRTAC1,CRYAB,CSPG4,CTDSP2,CTSS,CTSV,CTU2,CYP2J2,DAAM1,DAB2,DAPP1,DBP,DDIT4,DFFB,DHRS2,DHRS9,DIO3,DMD,DNAH5,DNAJC12,DNAJC22,DOCK8,DRAM1,DUSP4,DUSP5,DYDC1,DYDC2,EBI3,ECM1,EDIL3,EFNA1,EGFL6,ELMO1,EMID1,EMILIN2,EMX1,EOMES,EPHA3,ERG,EXOSC6,FADS2,FAF1,FAM111B,FAM133A,FAM241A,FAS,FASN,FBLN5,FBP1,FBXL17,FBXO32,FGF1,FHL1,FIBCD1,FJX1,FLG2,FLVCR2,FOSB,FSTL1,FSTL3,GBP3,GBX1,GDF15,GFRA3,GGT7,GGTLC2,GJB3,GJB4,GJB5,GLI1,GNAL,GNB1L,GNG2,GPC1,GPC3,GPD1,GPR137C,GPRC5B,GRPR,GTDC1,HBEGF,HDAC4,HDAC9,HECW1,HEYL,HHIP,HHLA2,HKDC1,HLA-B,HMGCS1,HOTAIR,HOXD1,HRCT1,HS3ST3A1,HSD17B6,HSPA1A/HSPA1B,HSPB2,HTRA3,ID3,ID4,IFI35,IFI6,IFIT3,IFT88,IGFL4,IHH,IL15RA,IL1B,IL1RN,IL21R,IL31RA,IL7R,INPP1,INSIG1,ISG20,ISM2,ITGB2,IZUMO4,JPH2,KBTBD11,KCNB1,KCNG3,KCNK9,KIAA1755,KIF1A,KLF14,KLHL6,KLK5,KREMEN2,KRT13,KRT23,KRT4,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LAMP3,LCE1E,LCE1F,LGI2,LGR5,LIPH,LMO2,LOR,LPXN,LRRC15,LRRC17,LRRC41,LY96,LYST,MAB21L4,MAFF,MAP1LC3A,MAP6,MATN3,MAZ,MBOAT1,MCTP1,MEGF6,MGLL,MICB,MOBP,MPPED2,MTSS1,MUC1,MVK,MXD1,MYH2,N4BP3,NAF1,NCEH1,NCF2,NECAB2,NEXN,NMNAT2,NMNAT3,NR4A3,NRTN,NT5C,NTF3,OAS1,ODAPH,OLFML2B,OLR1,OPN1SW,OSGIN1,OTOP1,OTULINL,PADI1,PADI2,PAPSS2,PAQR4,PBLD,PDCD1LG2,PDGFRL,PGD,PHKB,PHLDA2,PHYHIP,PIFO,PLA2G3,PLCXD2,PLEKHA6,PLEKHA7,PLEKHA8P1,PLP1,PMEL,PNKP,PNMA2,PPIC,PPM1N,PPP4R1,PPP4R4,PROS1,PRR9,PSCA,PSD4,PSG8,PTOV1,RAB6B,RAD23A,RAET1G,RAET1L,RASGRF1,RASGRP3,RASL10A,RASSF1,RBM12,RBMS3,RDH16,REEP1,RELB,RFTN1,RFX8,RHOBTB1,RHOU,RND1,RPS6KA6,RTP4,RXRG,RYR3,SAA1,SAMD1,SAMD11,SCD,SCEL,SCFD2,SCIN,SERPINB6,SERPINB7,SERPINB8,SERTAD4,SERTM1,SFPQ,SH2D1B,SH3TC1,SH3TC2,SIRPB2,SLC16A12,SLC16A14,SLC18A3,SLC25A13,SLC25A22,SLC29A2,SLC38A5,SLC44A1,SLC7A11,SLC7A7,SLC9A4,SLC9A8,SLCO2A1,SLCO5A1,SMPDL3B,SNRPA,SOX12,SOX2,SOX2-OT,SOX21,SPINK2,SPRY2,SPRYD3,SREBF1,SRXN1,ST3GAL5,STAG1,STAMBPL1,STARD13,STARD5,STOML3,STRA6,STX11,SYT17,SYTL2,TEDC2,TEF,TENT5C,TEX14,TEX15,TFAP2C,TFAP4,TGM1,TGM4,THOC6,THSD1,TIMP3,TKT,TLL2,TMEM117,TMEM135,TMEM154,TMEM229B,TMEM255B,TMEM54,TMEM59L,TMEM86A,TMPRSS11E,TMPRSS7,TNFAIP1,TNFAIP2,TNFAIP8L3,TNFRSF9,TP53I3,TRAPPC9,TRIM22,TRPC1,TSPAN11,TTLL11,TTYH2,TUBB2A,TUBB3,TUFT1,TXNDC5,UBD,UBE2QL1,UGT8,ULBP2,USP44,VAMP1,VAV1,VGLL2,VIPR2,VSIG1,VSTM2L,VTN,VWA5B1,WDR17,WSCD2,WWP2,XCR1,XDH,ZBED2,ZFX,ZMYND15,ZNF219,ZNF25,ZNF467,ZSCAN31,ZSWIM3	440
Cancer,Organismal Injury and Abnormalities	Epithelial neoplasm	4.80E-19	ABCA13,ABCA4,ABCA8,ACBD7,ACE2,ACER2,ACHE,ACSF2,ACTBL2,ACVR2B,ADAMTS14,ADAMTS17,AKAP12,AKR1B10,AKR1B15,AKR1C1/AKR1C2,AKR1C3,ANGPTL4,ANKDD1A,ANKRD1,ANO2,APBB1,APLF,AREG,ARHGAP18,ARHGAP26,ARHGDIA,ARHGDIB,ARHGDIG,ARHGEF28,ART5,ASB2,ASRGL1,ATF3,ATP13A4,ATP6V0A4,ATRNL1,AZGP1,BCO2,BCYRN1,BIRC3,BPIFC,C11orf96,C1QTNF2,C1S,C3orf52,C7orf57,CACNA1A,CAMK2N1,CAPG,CARD16,CASP1,CASP10,CCDC103,CCDC136,CCDC80,CCM2L,CCN2,CCN5,CD274,CD33,CD83,CDH23,CDH24,CEACAM1,CEND1,CFLAR,CGB3 (includes others),CHST2,CIRBP,CITED2,CLDN1,CNN1,COL16A1,COQ10A,CPA4,CPA6,CPE,CPNE7,CRABP1,CREB5,CRTAC1,CRYAB,CSPG4,CTDSP2,CTSS,CTSV,CTU2,CYP2J2,DAAM1,DAB2,DAPP1,DBP,DDIT4,DFFB,DHRS2,DHRS9,DIO3,DMD,DNAH5,DNAJC12,DNAJC22,DOCK8,DRAM1,DUSP4,DUSP5,DYDC1,DYDC2,EBI3,ECM1,EDIL3,EFNA1,EGFL6,ELMO1,EMID1,EMILIN2,EMX1,EOMES,EPHA3,ERG,EXOSC6,FADS2,FAF1,FAM111B,FAM133A,FAM241A,FAS,FASN,FBLN5,FBP1,FBXL17,FBXO32,FGF1,FHL1,FIBCD1,FJX1,FLG2,FLVCR2,FOSB,FSTL1,FSTL3,GBP3,GBX1,GDF15,GFRA3,GGT7,GGTLC2,GJB3,GJB4,GJB5,GLI1,GNAL,GNB1L,GPC1,GPC3,GPD1,GPR137C,GPRC5B,GRPR,GTDC1,HBEGF,HDAC4,HDAC9,HECW1,HEYL,HHIP,HHLA2,HKDC1,HLA-B,HMGCS1,HOTAIR,HOXD1,HRCT1,HS3ST3A1,HSD17B6,HSPA1A/HSPA1B,HTRA3,ID3,ID4,IFI35,IFI6,IFIT3,IFT88,IGFL4,IHH,IL15RA,IL1B,IL1RN,IL21R,IL31RA,IL7R,INPP1,INSIG1,ISG20,ISM2,ITGB2,IZUMO4,JPH2,KBTBD11,KCNB1,KCNG3,KCNK9,KIAA1755,KIF1A,KLF14,KLHL6,KLK5,KREMEN2,KRT13,KRT23,KRT4,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LAMP3,LCE1E,LCE1F,LGI2,LGR5,LIPH,LMO2,LOR,LPXN,LRRC15,LRRC17,LRRC41,LY96,LYST,MAB21L4,MAFF,MAP1LC3A,MAP6,MATN3,MAZ,MBOAT1,MCTP1,MEGF6,MGLL,MICB,MOBP,MPPED2,MTSS1,MUC1,MVK,MXD1,MYH2,N4BP3,NAF1,NBPF10 (includes others),NCEH1,NCF2,NECAB2,NEXN,NMNAT2,NMNAT3,NR4A3,NRTN,NT5C,NTF3,OAS1,ODAPH,OLFML2B,OLR1,OPN1SW,OSGIN1,OTOP1,OTULINL,PADI1,PADI2,PAPSS2,PAQR4,PBLD,PDCD1LG2,PDGFRL,PGD,PHKB,PHLDA2,PHYHIP,PIFO,PLA2G3,PLCXD2,PLEKHA6,PLEKHA7,PLEKHA8P1,PLP1,PMEL,PNKP,PNMA2,PPIC,PPM1N,PPP4R1,PPP4R4,PROS1,PRR9,PSCA,PSD4,PSG8,PTOV1,RAB6B,RAD23A,RAET1G,RAET1L,RASGRF1,RASGRP3,RASL10A,RASSF1,RBM12,RBMS3,RDH16,REEP1,RELB,RFTN1,RFX8,RHOBTB1,RHOU,RND1,RPS6KA6,RTP4,RXRG,RYR3,SAA1,SAMD1,SAMD11,SCD,SCEL,SCFD2,SCIN,SERPINB6,SERPINB7,SERPINB8,SERTAD4,SERTM1,SFPQ,SH2D1B,SH3TC1,SH3TC2,SIRPB2,SLC16A12,SLC16A14,SLC18A3,SLC25A13,SLC25A22,SLC29A2,SLC38A5,SLC44A1,SLC7A11,SLC7A7,SLC9A4,SLC9A8,SLCO2A1,SLCO5A1,SMPDL3B,SNRPA,SOX12,SOX2,SOX2-OT,SOX21,SPINK2,SPRY2,SREBF1,SRXN1,ST3GAL5,STAG1,STAMBPL1,STARD13,STARD5,STOML3,STRA6,STX11,SYT17,SYTL2,TEDC2,TEF,TENT5C,TEX14,TEX15,TFAP2C,TFAP4,TGM1,TGM4,THOC6,THSD1,TIMP3,TKT,TLL2,TMEM117,TMEM135,TMEM154,TMEM229B,TMEM255B,TMEM54,TMEM59L,TMEM86A,TMPRSS11E,TMPRSS7,TNFAIP1,TNFAIP2,TNFAIP8L3,TNFRSF9,TP53I3,TRAPPC9,TRIM22,TRPC1,TSPAN11,TTLL11,TTYH2,TUBB2A,TUBB3,TUFT1,TXNDC5,UBD,UBE2QL1,UGT8,ULBP2,USP44,VAMP1,VAV1,VGLL2,VIPR2,VSIG1,VSTM2L,VTN,VWA5B1,WDR17,WSCD2,WWP2,XCR1,XDH,ZBED2,ZFX,ZMYND15,ZNF219,ZNF25,ZNF467,ZSCAN31,ZSWIM3	436
Cancer,Organismal Injury and Abnormalities	Carcinoma	9.26E-19	ABCA13,ABCA4,ABCA8,ACBD7,ACE2,ACER2,ACHE,ACSF2,ACTBL2,ACVR2B,ADAMTS14,ADAMTS17,AKAP12,AKR1B10,AKR1B15,AKR1C1/AKR1C2,AKR1C3,ANGPTL4,ANKDD1A,ANKRD1,ANO2,APBB1,APLF,AREG,ARHGAP18,ARHGAP26,ARHGDIA,ARHGDIB,ARHGDIG,ARHGEF28,ART5,ASB2,ASRGL1,ATF3,ATP13A4,ATP6V0A4,ATRNL1,AZGP1,BCO2,BCYRN1,BIRC3,BPIFC,C11orf96,C1QTNF2,C1S,C3orf52,C7orf57,CACNA1A,CAMK2N1,CAPG,CARD16,CASP1,CASP10,CCDC103,CCDC136,CCDC80,CCM2L,CCN2,CCN5,CD274,CD33,CD83,CDH23,CDH24,CEACAM1,CEND1,CFLAR,CGB3 (includes others),CHST2,CIRBP,CITED2,CLDN1,CNN1,COL16A1,COQ10A,CPA4,CPA6,CPE,CPNE7,CRABP1,CREB5,CRTAC1,CRYAB,CSPG4,CTDSP2,CTSS,CTSV,CTU2,CYP2J2,DAAM1,DAB2,DAPP1,DBP,DDIT4,DFFB,DHRS2,DHRS9,DIO3,DMD,DNAH5,DNAJC12,DNAJC22,DOCK8,DRAM1,DUSP4,DUSP5,DYDC1,DYDC2,EBI3,ECM1,EDIL3,EFNA1,EGFL6,ELMO1,EMID1,EMILIN2,EMX1,EOMES,EPHA3,ERG,EXOSC6,FADS2,FAF1,FAM111B,FAM133A,FAM241A,FAS,FASN,FBLN5,FBP1,FBXL17,FBXO32,FGF1,FHL1,FIBCD1,FJX1,FLG2,FLVCR2,FOSB,FSTL1,FSTL3,GBP3,GBX1,GDF15,GFRA3,GGT7,GGTLC2,GJB3,GJB4,GJB5,GLI1,GNAL,GNB1L,GPC1,GPC3,GPD1,GPR137C,GPRC5B,GRPR,GTDC1,HBEGF,HDAC4,HDAC9,HECW1,HEYL,HHIP,HHLA2,HKDC1,HLA-B,HMGCS1,HOTAIR,HOXD1,HRCT1,HS3ST3A1,HSD17B6,HSPA1A/HSPA1B,HTRA3,ID3,ID4,IFI35,IFI6,IFIT3,IFT88,IGFL4,IHH,IL15RA,IL1B,IL1RN,IL21R,IL31RA,IL7R,INPP1,INSIG1,ISG20,ISM2,ITGB2,IZUMO4,JPH2,KBTBD11,KCNB1,KCNG3,KCNK9,KIAA1755,KIF1A,KLF14,KLHL6,KLK5,KREMEN2,KRT13,KRT23,KRT4,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LAMP3,LCE1E,LCE1F,LGI2,LGR5,LIPH,LMO2,LOR,LPXN,LRRC15,LRRC17,LRRC41,LY96,LYST,MAB21L4,MAFF,MAP1LC3A,MAP6,MATN3,MAZ,MBOAT1,MCTP1,MEGF6,MGLL,MICB,MOBP,MPPED2,MTSS1,MUC1,MVK,MXD1,MYH2,N4BP3,NAF1,NCEH1,NCF2,NECAB2,NEXN,NMNAT2,NMNAT3,NR4A3,NRTN,NT5C,NTF3,OAS1,ODAPH,OLFML2B,OLR1,OPN1SW,OSGIN1,OTOP1,OTULINL,PADI1,PADI2,PAPSS2,PAQR4,PBLD,PDCD1LG2,PDGFRL,PGD,PHKB,PHLDA2,PHYHIP,PIFO,PLA2G3,PLCXD2,PLEKHA6,PLEKHA7,PLEKHA8P1,PLP1,PMEL,PNKP,PNMA2,PPIC,PPM1N,PPP4R1,PPP4R4,PROS1,PRR9,PSCA,PSD4,PSG8,PTOV1,RAB6B,RAD23A,RAET1G,RAET1L,RASGRF1,RASGRP3,RASL10A,RASSF1,RBM12,RBMS3,RDH16,REEP1,RELB,RFTN1,RFX8,RHOBTB1,RHOU,RND1,RPS6KA6,RTP4,RXRG,RYR3,SAA1,SAMD1,SAMD11,SCD,SCEL,SCFD2,SCIN,SERPINB6,SERPINB7,SERPINB8,SERTAD4,SERTM1,SFPQ,SH2D1B,SH3TC1,SH3TC2,SIRPB2,SLC16A12,SLC16A14,SLC18A3,SLC25A13,SLC25A22,SLC29A2,SLC38A5,SLC44A1,SLC7A11,SLC7A7,SLC9A4,SLC9A8,SLCO2A1,SLCO5A1,SMPDL3B,SNRPA,SOX12,SOX2,SOX2-OT,SOX21,SPINK2,SPRY2,SREBF1,SRXN1,ST3GAL5,STAG1,STAMBPL1,STARD13,STARD5,STOML3,STRA6,STX11,SYT17,SYTL2,TEDC2,TEF,TENT5C,TEX14,TEX15,TFAP2C,TFAP4,TGM1,TGM4,THOC6,THSD1,TIMP3,TKT,TLL2,TMEM117,TMEM135,TMEM154,TMEM229B,TMEM255B,TMEM54,TMEM59L,TMEM86A,TMPRSS11E,TMPRSS7,TNFAIP1,TNFAIP2,TNFAIP8L3,TNFRSF9,TP53I3,TRAPPC9,TRIM22,TRPC1,TSPAN11,TTLL11,TTYH2,TUBB2A,TUBB3,TUFT1,TXNDC5,UBD,UBE2QL1,UGT8,ULBP2,USP44,VAMP1,VAV1,VGLL2,VIPR2,VSIG1,VSTM2L,VTN,VWA5B1,WDR17,WSCD2,WWP2,XCR1,XDH,ZBED2,ZFX,ZMYND15,ZNF219,ZNF25,ZNF467,ZSCAN31,ZSWIM3	435
Cancer,Organismal Injury and Abnormalities	Non-melanoma solid tumor	2.38E-18	ABCA13,ABCA4,ABCA8,ACBD7,ACE2,ACER2,ACHE,ACSF2,ACTBL2,ACVR2B,ADAMTS14,ADAMTS17,AKAP12,AKR1B10,AKR1B15,AKR1C1/AKR1C2,AKR1C3,ANGPTL4,ANKDD1A,ANKRD1,ANO2,APBB1,APLF,AREG,ARHGAP18,ARHGAP26,ARHGDIA,ARHGDIB,ARHGDIG,ARHGEF28,ART5,ASB2,ASRGL1,ATF3,ATP13A4,ATP6V0A4,ATRNL1,AZGP1,BCO2,BCYRN1,BIRC3,BPIFC,C11orf96,C1QTNF2,C1S,C3orf52,C7orf57,CACNA1A,CAMK2N1,CAPG,CARD16,CASP1,CASP10,CCDC103,CCDC136,CCDC80,CCM2L,CCN2,CCN5,CD274,CD33,CD83,CDH23,CDH24,CEACAM1,CEND1,CFLAR,CGB3 (includes others),CHST2,CIRBP,CITED2,CLDN1,CNN1,COL16A1,COQ10A,CPA4,CPA6,CPE,CPNE7,CRABP1,CREB5,CRTAC1,CRYAB,CSPG4,CTDSP2,CTSS,CTSV,CTU2,CYP2J2,DAAM1,DAB2,DAPP1,DBP,DDIT4,DFFB,DHRS2,DHRS9,DIO3,DMD,DNAH5,DNAJC12,DNAJC22,DOCK8,DRAM1,DUSP4,DUSP5,DYDC1,DYDC2,EBI3,ECM1,EDIL3,EFNA1,EGFL6,ELMO1,EMID1,EMILIN2,EMX1,EOMES,EPHA3,ERG,EXOSC6,FADS2,FAF1,FAM111B,FAM133A,FAM241A,FAS,FASN,FBLN5,FBP1,FBXL17,FBXO32,FGF1,FHL1,FIBCD1,FJX1,FLG2,FLVCR2,FOSB,FSTL1,FSTL3,GBP3,GBX1,GDF15,GFRA3,GGT7,GGTLC2,GJB3,GJB4,GJB5,GLI1,GNAL,GNB1L,GPC1,GPC3,GPD1,GPR137C,GPRC5B,GRPR,GTDC1,HBEGF,HDAC4,HDAC9,HECW1,HEYL,HHIP,HHLA2,HKDC1,HLA-B,HMGCS1,HOTAIR,HOXD1,HRCT1,HS3ST3A1,HSD17B6,HSPA1A/HSPA1B,HTRA3,ID3,ID4,IFI35,IFI6,IFIT3,IFT88,IGFL4,IHH,IL15RA,IL1B,IL1RN,IL21R,IL31RA,IL7R,INPP1,INSIG1,ISG20,ISM2,ITGB2,IZUMO4,JPH2,KBTBD11,KCNB1,KCNG3,KCNK9,KIAA1755,KIF1A,KLF14,KLHL6,KLK5,KREMEN2,KRT13,KRT23,KRT4,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LAMP3,LCE1E,LCE1F,LGI2,LGR5,LIPH,LMO2,LOR,LPXN,LRRC15,LRRC17,LRRC41,LY96,LYST,MAB21L4,MAFF,MAP1LC3A,MAP6,MATN3,MAZ,MBOAT1,MCTP1,MEGF6,MGLL,MICB,MOBP,MPPED2,MTSS1,MUC1,MVK,MXD1,MYH2,N4BP3,NAF1,NBPF10 (includes others),NCEH1,NCF2,NECAB2,NEXN,NMNAT2,NMNAT3,NR4A3,NRTN,NT5C,NTF3,OAS1,ODAPH,OLFML2B,OLR1,OPN1SW,OSGIN1,OTOP1,OTULINL,PADI1,PADI2,PAPSS2,PAQR4,PBLD,PDCD1LG2,PDGFRL,PGD,PHKB,PHLDA2,PHYHIP,PIFO,PLA2G3,PLCXD2,PLEKHA6,PLEKHA7,PLEKHA8P1,PLP1,PMEL,PMM2,PNKP,PNMA2,PPIC,PPM1N,PPP4R1,PPP4R4,PROS1,PRR9,PSCA,PSD4,PSG8,PTOV1,RAB6B,RAD23A,RAET1G,RAET1L,RASGRF1,RASGRP3,RASL10A,RASSF1,RBM12,RBMS3,RDH16,REEP1,RELB,RFTN1,RFX8,RHOBTB1,RHOU,RND1,RPS6KA6,RTP4,RXRG,RYR3,SAA1,SAMD1,SAMD11,SCD,SCEL,SCFD2,SCIN,SERPINB6,SERPINB7,SERPINB8,SERTAD4,SERTM1,SFPQ,SH2D1B,SH3TC1,SH3TC2,SIRPB2,SLC16A12,SLC16A14,SLC18A3,SLC25A13,SLC25A22,SLC29A2,SLC38A5,SLC44A1,SLC7A11,SLC7A7,SLC9A4,SLC9A8,SLCO2A1,SLCO5A1,SMPDL3B,SNRPA,SOX12,SOX2,SOX2-OT,SOX21,SPINK2,SPRY2,SREBF1,SRXN1,ST3GAL5,STAG1,STAMBPL1,STARD13,STARD5,STOML3,STRA6,STX11,SYT17,SYTL2,TEDC2,TEF,TENT5C,TEX14,TEX15,TFAP2C,TFAP4,TGM1,TGM4,THOC6,THSD1,TIMP3,TKT,TLL2,TMEM117,TMEM135,TMEM154,TMEM229B,TMEM255B,TMEM54,TMEM59L,TMEM86A,TMPRSS11E,TMPRSS7,TNFAIP1,TNFAIP2,TNFAIP8L3,TNFRSF9,TP53I3,TRAPPC9,TRIM22,TRPC1,TSPAN11,TTLL11,TTYH2,TUBB2A,TUBB3,TUFT1,TXNDC5,UBD,UBE2QL1,UGT8,ULBP2,USP44,VAMP1,VAV1,VGLL2,VIPR2,VSIG1,VSTM2L,VTN,VWA5B1,WDR17,WSCD2,WWP2,XCR1,XDH,ZBED2,ZFX,ZMYND15,ZNF219,ZNF25,ZNF467,ZSCAN31,ZSWIM3	437
