""	"TR_AG_1"	"TR_AG_3"	"TR_SH_1"	"TR_SH_3"
"0610009L18Rik"	63.0681049079076	62.3843607403715	12.4880316167643	25.1048131063496
"1110002L01Rik"	806.661406322108	803.547810730457	406.901696846235	371.551233973974
"1110006O24Rik"	119.015617326213	100.559865074032	41.6267720558808	56.234781358223
"1500015A07Rik"	180.049267237091	221.604147107588	62.4401580838213	77.3228243675567
"1810011O10Rik"	500.475929269202	540.043719842022	143.612363592789	152.637263686605
"2010107G23Rik"	3.05168249554391	4.65554930898295	18.7320474251464	34.1425458246354
"2010315B03Rik"	176.997584741547	177.841983603149	77.0095283033796	90.3773271828584
"2210011C24Rik"	5.08613749257319	1.86221972359318	16.6507088223523	34.1425458246354
"2310009A05Rik"	140.37739479502	187.153082221115	65.5621659880123	71.2976692220328
"2310033P09Rik"	327.547254521714	293.299606465926	139.449686387201	108.45279261943
"2610008E11Rik"	103.757204848493	115.457622862777	285.143388582784	237.993628248194
"2700038G22Rik"	172.928674747489	176.910873741352	61.3994887824242	69.2892841735248
"2810008D09Rik"	328.564482020228	405.032789881517	111.351615249481	172.721114171685
"2810013P06Rik"	535.0616642187	453.450502694939	214.377876087786	248.035553490734
"2810410L24Rik"	41.7063274391002	50.2799325370158	13.5287009181613	12.0503102910478
"2810433D01Rik"	83.4126548782003	95.9043157650488	27.0574018363225	38.1593159216513
"3110039M20Rik"	432.321686868721	475.797139378057	136.32767848301	191.800772132511
"3110052M02Rik"	104.774432347008	157.357566643624	65.5621659880123	54.2263963097151
"3110056K07Rik"	120.032844824727	94.0420960414556	38.5047641516898	39.1635084459053
"3110099E03Rik"	0	0.93110986179659	22.8947246307345	28.1173906791115
"3300005D01Rik"	832.092093784974	913.418774422455	381.925633612707	402.681202225847
"4430402I18Rik"	87.4815648722589	91.2487664560658	36.4234255488957	33.1383533003814
"4930511M06Rik"	157.670262269769	178.773093464945	47.870787864263	34.1425458246354
"4930592A05Rik"	64.0853324064222	56.797701569592	18.7320474251464	19.0796579608257
"4933421O10Rik"	115.963934830669	111.733183415591	33.3014176447047	16.0670803880637
"4933425B07Rik"	0	0	11.4473623153672	9.03773271828584
"5730559C18Rik"	213.617774688074	202.05084000986	34.3420869461017	39.1635084459053
"6330419J24Rik"	53.9130574212758	40.9688339190499	0	0
"6530402F18Rik"	120.032844824727	112.664293277387	27.0574018363225	33.1383533003814
"8430408G22Rik"	0	4.65554930898295	46.8301185628659	38.1593159216513
"8430427H17Rik"	132.239574806903	111.733183415591	389.210318722486	392.639276983307
"9030617O03Rik"	14.2411849792049	10.2422084797625	72.8468510977915	64.2683215522549
"9330151L19Rik"	143.429077290564	136.873149684099	53.0741343712481	50.2096262126991
"9330159F19Rik"	22.379004967322	24.2088564067113	86.3755520159527	88.3689421343505
"9430018G01Rik"	135.291257302447	162.944225814403	31.2200790419106	24.1006205820956
"9930012K11Rik"	161.739172263827	167.599775123386	374.640948502928	351.467383488894
"9930111J21Rik1"	335.685074509831	318.439572734434	103.026260838305	77.3228243675567
"A230050P20Rik"	191.238769720752	193.670851253691	22.8947246307345	20.0838504850797
"A430105I19Rik"	386.546449435563	314.715133287247	755.525912814237	685.86349406547
"A730020E08Rik"	8.13781998811711	11.1733183415591	43.7081106586749	35.1467383488894
"A830082K12Rik"	149.532442281652	166.66866526159	70.7655124949974	59.247358930985
"Abat"	123.084527320271	137.804259545895	49.952126467057	58.243166406731
"Abca13"	386.546449435563	465.554930898295	8.32535441117617	8.03354019403186
"Abca9"	165.808082257886	147.115358163861	56.1961422754391	41.1718934944133
"Abcb1a"	91.5504748663174	125.69983134254	46.8301185628659	38.1593159216513
"Abcc3"	98.6710673559199	108.008743968404	528.660005109687	517.159149990801
"Abhd14b"	577.785219156315	609.876959476766	304.916105309327	279.165521742607
"Acot11"	133.256802305418	113.595403139184	27.0574018363225	17.0712729123177
"Acp5"	128.170664812844	138.735369407692	16.6507088223523	28.1173906791115
"Acsbg1"	877.867331218133	883.623258844964	282.021380678593	229.960088054162
"Acss3"	30.5168249554392	30.7266254392875	2.08133860279404	3.01257757276195
"Acta1"	48.8269199287026	58.6599212931852	12.4880316167643	22.0922355335876
