""	"TR_AG_1"	"TR_AG_3"	"TR_SH_1"	"TR_SH_3"
"Tspan15"	101.7227	121.0443	579.6528	646.7
"Tspan17"	17.29287	22.34664	237.2726	272.1362
"Tspan18"	0	0.9311099	0	0
"Tspan2"	109.8606	118.251	42.66744	19.07966
"Tspan3"	2008.007	2052.166	1405.944	1597.67
"Tspan31"	2371.157	2492.581	3760.979	3839.028
"Tspan32"	23.39623	10.24221	19.77272	19.07966
"Tspan33"	4.06891	1.86222	15.61004	5.020963
"Tspan4"	3107.63	3223.502	2924.281	3292.747
"Tspan5"	1707.925	1601.509	1223.827	1223.106
"Tspan6"	313.3061	364.064	181.0765	210.8804
"Tspan7"	180.0493	164.8064	148.8157	163.6834
"Tspan8"	249.2207	306.3351	705.5738	833.4798
"Tspan9"	1411.912	1321.245	2126.087	1940.1
"Tspear"	3.051682	0	2.081339	1.004193
"Tspo"	3869.533	3893.901	3015.86	3590.992
"Tspyl1"	1376.309	1412.494	1697.332	1488.213
"Tspyl2"	924.6598	903.1766	1007.368	1026.285
"Tspyl3"	13.22396	13.96665	59.31815	77.32282
"Tspyl4"	307.2027	342.6484	174.8324	194.8133
"Tspyl5"	5.086137	7.448879	9.366024	23.09643
"Tsr1"	2342.675	2456.268	3217.749	3206.387
"Tsr2"	609.3193	671.3302	462.0572	545.2765
"Tsr3"	755.8	777.4767	527.6193	611.5532
"Tssc1"	503.5276	551.217	342.3802	430.7986
"Tssc4"	805.6442	839.8611	705.5738	819.4211
"Tssk1"	5.086137	7.448879	2.081339	2.008385
"Tssk2"	2.034455	2.79333	0	3.012578
"Tssk3"	0	0	1.040669	1.004193
"Tssk4"	17.29287	22.34664	10.40669	6.025155
"Tssk5"	0	0	0	0
"Tssk6"	33.56851	30.72663	30.17941	25.10481
"Tst"	333.6506	305.404	399.617	441.8447
"Tsta3"	2239.935	2263.528	2112.559	2156.001
"Tstd1"	8.13782	12.10443	10.40669	13.0545
"Tstd2"	1313.241	1350.109	1335.179	1224.111
"Tstd3"	451.649	527.0082	364.2343	418.7483
"Ttbk1"	4.06891	8.379989	9.366024	0
"Ttbk2"	709.0076	720.679	827.3321	752.1402
"Ttc1"	1256.276	1309.14	1196.77	1219.09
"Ttc12"	49.84415	64.24658	61.39949	66.27671
"Ttc13"	2387.433	2567.07	2412.271	2280.521
"Ttc14"	934.8321	904.1077	988.6358	927.8739
"Ttc16"	138.3429	149.9087	164.4257	185.7756
"Ttc17"	1023.331	984.1831	1310.203	1080.511
"Ttc18"	4.06891	13.96665	9.366024	11.04612
"Ttc19"	881.9362	876.1744	579.6528	658.7503
"Ttc21a"	2.034455	5.586659	8.325354	6.025155
"Ttc21b"	880.919	807.2723	855.4302	770.2157
"Ttc22"	0	0	1.040669	1.004193
"Ttc23"	291.9443	256.9863	309.0788	331.3835
"Ttc23l"	0	0	0	1.004193
"Ttc25"	15.25841	21.41553	36.42343	40.1677
"Ttc26"	302.1166	290.5063	530.7413	460.9244
"Ttc27"	1475.997	1426.46	1625.525	1538.423
"Ttc28"	378.4086	409.6883	678.5164	571.3855
"Ttc29"	1.017227	0	0	0
"Ttc3"	3810.534	3641.571	4780.835	3955.514
"Ttc30a1"	145.4635	153.6331	79.09087	78.32702
"Ttc30a2"	3.051682	0.9311099	2.081339	1.004193
"Ttc30b"	232.9451	255.1241	269.5333	244.0188
"Ttc32"	79.34374	109.871	64.5215	59.24736
"Ttc33"	888.0396	865.0011	833.5761	891.723
"Ttc34"	0	0.9311099	0	0
"Ttc36"	14.24118	15.82887	5.203347	17.07127
"Ttc37"	1152.519	1171.336	1339.341	1170.888
"Ttc38"	73.24038	100.5599	194.6052	179.7505
"Ttc39a"	37.63742	40.96883	85.33488	99.41506
"Ttc39b"	2582.741	2622.005	1947.092	1701.102
"Ttc39c"	285.8409	250.4686	148.8157	171.7169
"Ttc39d"	0	1.86222	1.040669	2.008385
"Ttc4"	788.3513	777.4767	933.4804	847.5385
"Ttc5"	383.4948	434.8283	549.4734	601.5113
"Ttc7"	541.165	569.8392	334.0548	348.4548
"Ttc7b"	110.8778	147.1154	162.3444	156.654
"Ttc8"	452.6662	460.8994	354.8682	324.3542
"Ttc9"	312.2888	296.0929	111.3516	105.4402
"Ttc9b"	0	0	0	1.004193
"Ttc9c"	1559.41	1563.333	1958.54	1912.987
"Ttf1"	307.2027	336.1307	465.1792	435.8196
"Ttf2"	1173.881	1352.903	1067.727	1059.423
"Tti1"	884.9879	820.3078	880.4062	852.5595
"Tti2"	1317.31	1325.9	1397.619	1426.958
"Ttk"	460.8041	468.3483	535.9447	590.4652
"Ttl"	589.9919	606.1525	578.6121	610.5491
"Ttll1"	931.7804	915.281	1256.088	1180.93
"Ttll11"	1.017227	2.79333	6.244016	5.020963
"Ttll12"	4312.027	4160.199	4284.436	3877.187
"Ttll13"	0	4.655549	11.44736	2.008385
"Ttll3"	68.15424	75.4199	83.25354	116.4863
"Ttll4"	422.1494	425.5172	598.3848	576.4065
"Ttll5"	609.3193	547.4926	533.8634	445.8615
