""	"TR_AG_1"	"TR_AG_3"	"TR_SH_1"	"TR_SH_3"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610009L18Rik"	63.0681049079076	62.3843607403715	12.4880316167643	25.1048131063496	40.7613275928482	-1.73530478624077	0.509119601729984	-3.40844229989225	0.000653349008189347	0.00259418516606977
"1110002L01Rik"	806.661406322108	803.547810730457	406.901696846235	371.551233973974	597.165536968193	-1.04885917115717	0.138249592567081	-7.58670714091433	3.28137592914281e-14	6.8713914203166e-13
"1110006O24Rik"	119.015617326213	100.559865074032	41.6267720558808	56.234781358223	79.3592589535871	-1.16380206324914	0.35302997278417	-3.2966097866162	0.000978593593888726	0.00369665329100607
"1500015A07Rik"	180.049267237091	221.604147107588	62.4401580838213	77.3228243675567	135.354099199014	-1.52300181724161	0.28030643528011	-5.43334588704563	5.53070520252651e-08	5.03231482816785e-07
"1810011O10Rik"	500.475929269202	540.043719842022	143.612363592789	152.637263686605	334.192319097655	-1.81246337502492	0.182353611724795	-9.9392787336741	2.80853254594916e-23	1.2801415380574e-21
"2010107G23Rik"	3.05168249554391	4.65554930898295	18.7320474251464	34.1425458246354	15.1454562635772	2.77244540577731	0.882742663732717	3.1407175835978	0.00168534465216434	0.00597437313030485
"2010315B03Rik"	176.997584741547	177.841983603149	77.0095283033796	90.3773271828584	130.556605957733	-1.08335956317058	0.271573343123226	-3.98919699080704	6.62973482097353e-05	0.000336516211010252
"2210011C24Rik"	5.08613749257319	1.86221972359318	16.6507088223523	34.1425458246354	14.4354029657885	2.88671393235759	0.93278440908717	3.09472789664501	0.00196993530465662	0.00684550149518602
"2310009A05Rik"	140.37739479502	187.153082221115	65.5621659880123	71.2976692220328	116.097578056545	-1.2599992421953	0.298698425875352	-4.21829890299156	2.4615236975262e-05	0.000136009774017423
"2310033P09Rik"	327.547254521714	293.299606465926	139.449686387201	108.45279261943	217.187334998568	-1.32494750427128	0.224309886949233	-5.90677264516275	3.48874694894641e-09	3.92287195839118e-08
"2610008E11Rik"	103.757204848493	115.457622862777	285.143388582784	237.993628248194	185.587961135562	1.25343756728334	0.236063861630157	5.30973931641901	1.09782144386783e-07	9.44191788240846e-07
"2700038G22Rik"	172.928674747489	176.910873741352	61.3994887824242	69.2892841735248	120.132080361197	-1.42012548698681	0.285065037869033	-4.98175959283808	6.3008684659759e-07	4.73679752678906e-06
"2810008D09Rik"	328.564482020228	405.032789881517	111.351615249481	172.721114171685	254.417500330728	-1.36805751201668	0.232676079446118	-5.87966547860582	4.11096439130234e-09	4.55167237470709e-08
"2810013P06Rik"	535.0616642187	453.450502694939	214.377876087786	248.035553490734	362.73139912304	-1.09484293418054	0.178906232278668	-6.11964670115679	9.37830554500468e-10	1.15423455553469e-08
